Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-6,0,0,0,0
A,-5,0,0,90,0
A,-4,0,0,876,494
A,-3,0,0,2514,2252
A,-2,0,0,3702,4028
A,-1,0,0,3150,3420
A,0,4320,4320,2664,2940
A,1,1380,1380,1770,2040
A,2,2160,2160,1542,1868
A,3,1470,1470,1044,782
A,4,390,390,486,104
A,5,0,0,90,0
A,6,0,0,0,0
B,-6,0,0,0,0
B,-5,0,0,0,0
B,-4,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,282,192
B,-1,0,0,2022,2040
B,0,2880,2880,1728,1872
B,1,230,230,1792,1810
B,2,130,130,152,62
B,3,0,0,0,0
B,4,0,0,0,0
B,5,0,0,0,0
B,6,0,0,0,0
C,-6,0,0,0,0
C,-5,0,0,0,0
C,-4,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,282,192
C,-1,0,0,2022,2040
C,0,2880,2880,1728,1872
C,1,230,230,1792,1810
C,2,130,130,152,62
C,3,0,0,0,0
C,4,0,0,0,0
C,5,0,0,0,0
C,6,0,0,0,0
D,-6,0,0,0,0
D,-5,0,0,0,0
D,-4,0,0,0,0
D,-3,0,0,0,0
D,-2,0,0,282,192
D,-1,0,0,2022,2040
D,0,2880,2880,1728,1872
D,1,230,230,1792,1810
D,2,130,130,152,62
D,3,0,0,0,0
D,4,0,0,0,0
D,5,0,0,0,0
D,6,0,0,0,0
E,-6,0,0,0,0
E,-5,0,0,0,0
E,-4,0,0,0,0
E,-3,0,0,0,0
E,-2,0,0,238,28
E,-1,0,0,4388,4072
E,0,5832,5832,3348,4400
E,1,648,648,3740,3424
E,2,0,0,238,28
E,3,0,0,0,0
E,4,0,0,0,0
E,5,0,0,0,0
E,6,0,0,0,0
F,-6,0,0,70,0
F,-5,0,0,714,434
F,-4,0,0,2308,1756
F,-3,0,0,3988,3954
F,-2,0,0,3908,4096
F,-1,0,0,3500,4240
F,0,9144,9144,7960,7976
F,1,1828,1828,1672,2412
F,2,1976,1976,1932,2120
F,3,1984,1984,2004,1970
F,4,1016,1016,1292,740
F,5,252,252,462,182
F,6,0,0,70,0
G,-6,0,0,0,0
G,-5,0,0,0,0
G,-4,0,0,0,0
G,-3,0,0,0,0
G,-2,0,0,74,70
G,-1,0,0,1462,1452
G,0,3168,3168,2976,3004
G,1,54,54,1408,1398
G,2,18,18,56,52
G,3,0,0,0,0
G,4,0,0,0,0
G,5,0,0,0,0
G,6,0,0,0,0
H,-6,0,0,0,0
H,-5,0,0,0,0
H,-4,0,0,0,0
H,-3,0,0,0,0
H,-2,0,0,74,70
H,-1,0,0,1462,1452
H,0,3168,3168,2976,3004
H,1,54,54,1408,1398
H,2,18,18,56,52
H,3,0,0,0,0
H,4,0,0,0,0
H,5,0,0,0,0
H,6,0,0,0,0
I,-6,0,0,0,0
I,-5,0,0,0,0
I,-4,0,0,0,0
I,-3,0,0,0,0
I,-2,0,0,74,70
I,-1,0,0,1462,1452
I,0,3168,3168,2976,3004
I,1,54,54,1408,1398
I,2,18,18,56,52
I,3,0,0,0,0
I,4,0,0,0,0
I,5,0,0,0,0
I,6,0,0,0,0
J,-6,0,0,0,0
J,-5,0,0,0,0
J,-4,0,0,0,0
J,-3,0,0,0,0
J,-2,0,0,74,70
J,-1,0,0,1462,1452
J,0,3168,3168,2976,3004
J,1,54,54,1408,1398
J,2,18,18,56,52
J,3,0,0,0,0
J,4,0,0,0,0
J,5,0,0,0,0
J,6,0,0,0,0
