Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-3,0,0,0,0
A,-2,0,0,0,0
A,-1,0,0,512,512
A,0,408,408,1640,1640
A,1,36,36,476,476
A,2,0,0,0,0
A,3,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,288,288
B,-1,0,0,2568,2568
B,0,552,552,2952,2952
B,1,564,564,2004,2004
B,2,216,216,72,72
B,3,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,288,288
C,-1,0,0,2568,2568
C,0,552,552,2952,2952
C,1,564,564,2004,2004
C,2,216,216,72,72
C,3,0,0,0,0
D,-3,0,0,120,120
D,-2,0,0,1330,1330
D,-1,0,0,3696,3696
D,0,792,792,4276,4276
D,1,756,756,2940,2940
D,2,552,552,778,778
D,3,120,120,0,0
E,-3,0,0,0,0
E,-2,0,0,288,288
E,-1,0,0,2568,2568
E,0,552,552,2952,2952
E,1,564,564,2004,2004
E,2,216,216,72,72
E,3,0,0,0,0
F,-3,0,0,0,0
F,-2,0,0,288,288
F,-1,0,0,2568,2568
F,0,552,552,2952,2952
F,1,564,564,2004,2004
F,2,216,216,72,72
F,3,0,0,0,0
