Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-2,0,0,12000,12000
A,-1,0,0,83340,83340
A,0,2520,2520,119300,119300
A,1,5040,5040,78300,78300
A,2,2520,2520,9480,9480
B,-2,0,0,12000,12000
B,-1,0,0,83340,83340
B,0,2520,2520,119300,119300
B,1,5040,5040,78300,78300
B,2,2520,2520,9480,9480
C,-2,0,0,12000,12000
C,-1,0,0,83340,83340
C,0,2520,2520,119300,119300
C,1,5040,5040,78300,78300
C,2,2520,2520,9480,9480
D,-2,0,0,12000,12000
D,-1,0,0,83340,83340
D,0,2520,2520,119300,119300
D,1,5040,5040,78300,78300
D,2,2520,2520,9480,9480
E,-2,0,0,12000,12000
E,-1,0,0,83340,83340
E,0,2520,2520,119300,119300
E,1,5040,5040,78300,78300
E,2,2520,2520,9480,9480
F,-2,0,0,12000,12000
F,-1,0,0,83340,83340
F,0,2520,2520,119300,119300
F,1,5040,5040,78300,78300
F,2,2520,2520,9480,9480
G,-2,0,0,12000,12000
G,-1,0,0,83340,83340
G,0,2520,2520,119300,119300
G,1,5040,5040,78300,78300
G,2,2520,2520,9480,9480
