Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-8,54,54,0,0,432,432
-7,864,864,0,0,6198,6198
-6,6048,6048,0,0,41952,41952
-5,24192,24192,0,0,167328,167328
-4,60480,60480,0,0,426048,426048
-3,96768,96768,0,0,710976,710976
-2,96768,96768,0,0,774144,774144
-1,1183788,1183788,0,0,3163470,3163470
0,0,0,7444416,7444416,4281888,4281888
1,0,0,918144,918144,2245326,2245326
2,0,0,456288,456288,317856,317856
3,0,0,460992,460992,249984,249984
4,0,0,294000,294000,132048,132048
5,0,0,122304,122304,45024,45024
6,0,0,32928,32928,9024,9024
7,0,0,5376,5376,822,822
8,0,0,432,432,0,0
