Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-48,0,0,0,0
A,-47,0,0,0,0
A,-46,0,0,0,0
A,-45,0,0,0,0
A,-44,0,0,0,0
A,-43,0,0,0,0
A,-42,0,0,3,0
A,-41,0,0,3,0
A,-40,0,0,0,0
A,-39,0,0,3,0
A,-38,0,0,3,0
A,-37,0,0,0,0
A,-36,0,0,15,0
A,-35,0,0,15,3
A,-34,0,0,0,3
A,-33,0,0,45,0
A,-32,0,0,45,3
A,-31,0,0,0,3
A,-30,0,0,36,6
A,-29,0,0,18,9
A,-28,0,0,12,21
A,-27,0,0,57,21
A,-26,0,0,18,27
A,-25,0,0,12,36
A,-24,0,0,24,48
A,-23,0,0,141,36
A,-22,0,0,27,42
A,-21,0,0,51,24
A,-20,0,0,36,45
A,-19,0,0,18,81
A,-18,0,0,24,63
A,-17,0,0,60,45
A,-16,0,0,108,57
A,-15,0,0,51,63
A,-14,0,0,123,51
A,-13,0,0,81,111
A,-12,0,0,24,114
A,-11,0,0,24,63
A,-10,0,0,126,120
A,-9,0,0,15,72
A,-8,0,0,54,87
A,-7,0,0,192,69
A,-6,0,0,75,84
A,-5,0,0,24,93
A,-4,0,0,60,72
A,-3,0,0,3,57
A,-2,0,0,27,177
A,-1,0,0,501,306
A,0,36,36,30,114
A,1,0,0,501,306
A,2,0,0,27,177
A,3,0,3,3,54
A,4,3,0,57,72
A,5,3,6,21,87
A,6,3,3,72,81
A,7,3,0,189,69
A,8,0,0,54,87
A,9,0,0,15,72
A,10,0,12,126,108
A,11,0,24,24,39
A,12,6,18,18,96
A,13,12,6,69,105
A,14,12,3,111,48
A,15,12,3,39,60
A,16,9,0,99,57
A,17,6,0,54,45
A,18,3,0,21,63
A,19,3,0,15,81
A,20,3,0,33,45
A,21,0,3,51,21
A,22,0,0,27,42
A,23,0,6,141,30
A,24,0,15,24,33
A,25,0,0,12,36
A,26,0,0,18,27
A,27,6,0,51,21
A,28,6,0,6,21
A,29,6,0,12,9
A,30,6,0,30,6
A,31,0,0,0,3
A,32,0,0,45,3
A,33,0,0,45,0
A,34,0,0,0,3
A,35,0,0,15,3
A,36,0,0,15,0
A,37,0,0,0,0
A,38,0,0,3,0
A,39,0,0,3,0
A,40,0,0,0,0
A,41,0,0,3,0
A,42,0,0,3,0
A,43,0,0,0,0
A,44,0,0,0,0
A,45,0,0,0,0
A,46,0,0,0,0
A,47,0,0,0,0
A,48,0,0,0,0
B,-48,0,0,15,0
B,-47,0,0,0,0
B,-46,0,0,0,0
B,-45,0,0,21,0
B,-44,0,0,0,0
B,-43,0,0,0,0
B,-42,0,0,0,0
B,-41,0,0,0,0
