Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-124,0,0,0,0,72,0
-121,0,0,0,0,66,0
-120,12,0,0,0,12,0
-118,0,0,0,0,261,0
-117,12,0,0,0,12,0
-116,0,0,0,0,0,39
-115,0,0,0,0,282,18
-114,51,0,0,0,51,18
-112,0,12,0,0,429,45
-111,60,0,0,0,60,3
-110,0,0,0,0,0,63
-109,0,12,0,0,876,24
-108,231,3,0,0,255,63
-107,0,0,0,0,0,54
-106,0,33,0,0,1362,126
-105,603,3,0,0,633,105
-104,0,3,0,0,0,111
-103,0,33,0,0,1494,195
-102,684,9,0,0,744,156
-101,0,72,0,0,0,204
-100,0,75,0,0,1881,321
-99,777,66,0,0,858,375
-98,3,90,0,0,3,339
-97,0,126,0,0,1494,399
-96,978,81,0,0,1317,456
-95,3,123,0,0,3,447
-94,0,171,0,0,5964,378
-93,1578,138,0,0,1983,423
-92,9,168,0,0,9,786
-91,0,237,0,0,2994,750
-90,1944,186,0,0,2514,630
-89,30,240,0,0,63,942
-88,0,231,0,0,5529,951
-87,2211,255,0,0,2856,840
-86,78,252,0,0,111,864
-85,0,285,0,0,7149,1005
-84,2823,321,0,0,4242,1101
-83,171,354,0,0,240,1119
-82,0,393,0,0,10350,1326
-81,5565,438,0,0,7224,1203
-80,315,408,0,0,318,1248
-79,0,417,0,0,8919,1446
-78,6819,528,0,0,9270,1557
-77,525,489,0,0,597,1761
-76,0,528,0,0,12405,1764
-75,6180,552,0,0,9555,2151
-74,825,762,0,0,891,2664
-73,0,837,0,0,16497,2808
-72,8847,864,0,0,16647,3126
-71,1467,894,0,0,1641,3762
-70,0,1245,0,0,16527,4632
-69,9828,1287,0,0,17670,4566
-68,1710,1455,0,0,1884,4866
-67,0,1647,0,0,22029,5199
-66,9639,1764,0,0,24123,5445
-65,2826,2001,0,0,3213,6162
-64,21,2259,0,0,18477,6807
-63,9759,2400,0,0,24078,7464
-62,4584,2673,0,0,5106,8214
-61,27,2601,0,0,18864,8823
-60,9843,2670,0,0,29367,9183
-59,5739,2874,0,0,6585,9537
-58,132,2952,0,0,17223,10134
-57,8181,3315,0,0,24906,11340
-56,10671,3045,0,0,12534,11391
-55,246,3315,0,0,18459,12999
-54,8382,4086,0,0,35517,14259
-53,16014,4638,0,0,18480,14877
-52,309,5001,0,0,20076,15468
-51,8412,5094,0,0,36702,17229
-50,24291,4722,0,0,29592,17550
-49,510,4686,0,0,21675,18735
-48,15354,5145,0,0,54540,20043
-47,24150,6621,0,0,31938,23013
-46,996,6723,0,0,50709,24303
-45,9417,7701,0,0,48147,27273
-44,28023,9231,0,0,36108,29322
-43,3996,10485,0,0,24393,31860
-42,12279,12183,0,0,56532,35223
-41,31461,12828,0,0,42585,38673
-40,3459,13407,0,0,33159,45768
-39,7485,14781,0,0,58266,51825
-38,32835,15873,0,0,52446,53109
-37,6447,17409,0,0,37656,54141
-36,9420,19269,0,0,71472,59748
-35,34422,21141,0,0,59436,59097
-34,6897,22188,0,0,29460,60096
-33,5448,23295,0,0,69279,63066
-32,39243,23508,0,0,65829,67179
-31,12897,25746,0,0,27645,76890
-30,2526,29121,0,0,52035,83271
-29,41820,27798,0,0,66009,77760
-28,17127,27042,0,0,43617,77490
-27,3825,30246,0,0,50931,80844
-26,30462,32286,0,0,60792,80235
-25,50973,28095,0,0,69966,73329
-24,2181,26604,0,0,45171,70611
-23,27462,25812,0,0,67647,69735
-22,29259,25869,0,0,54504,66597
-21,804,23994,0,0,52635,64338
-20,24744,25788,0,0,87099,69030
-19,62958,23076,0,0,86994,66342
-18,1257,22476,0,0,40392,68925
-17,21513,22563,0,0,131961,70941
-16,106899,25377,0,0,132804,75036
-15,1857,26040,0,0,35907,78069
-14,20418,28599,0,0,164676,83001
-13,152757,30153,0,0,180195,89412
-12,2034,32190,0,0,41814,97551
-11,15435,33687,0,0,207111,103230
-10,182379,37023,0,0,205098,110166
-9,2403,43986,0,0,40785,122979
-8,13545,51120,0,0,225921,137679
-7,220539,60567,0,0,243162,158799
-6,5721,80577,0,0,28404,193452
-5,8727,104265,0,0,255171,229974
-4,350886,137568,0,0,382275,293475
-3,3435,186018,0,0,24606,380457
-2,5445,323532,0,0,320064,584859
-1,1380021,780096,0,0,1477386,1062054
0,0,331245,420,420,178260,947532
1,0,85026,21,21,1477365,1062033
2,0,38943,9,9,320055,584850
3,0,21162,18,30,24588,380427
4,0,14835,12,36,382263,293439
5,0,11250,18,18,255153,229956
6,0,9075,21,24,28383,193428
7,0,7173,21,33,243141,158766
8,0,5610,15,36,225906,137643
9,0,5181,24,6,40761,122973
10,0,4434,30,24,205068,110142
11,0,3822,30,42,207081,103188
12,0,3141,24,33,41790,97518
13,0,3063,21,24,180174,89388
14,0,2553,30,27,164646,82974
15,0,1572,45,42,35862,78027
16,0,1080,27,36,132777,75000
17,0,1077,27,27,131934,70914
18,0,774,39,24,40353,68901
19,0,420,33,42,86961,66300
20,0,261,27,39,87072,68991
21,0,225,24,24,52611,64314
22,0,90,39,27,54465,66570
23,0,30,36,39,67611,69696
24,0,3,24,30,45147,70581
25,0,0,21,27,69945,73302
26,0,0,39,51,60753,80184
27,0,0,48,72,50883,80772
28,0,0,45,60,43572,77430
29,0,0,27,66,65982,77694
30,0,0,66,72,51969,83199
31,0,0,54,60,27591,76830
32,0,0,51,54,65778,67125
33,0,0,27,75,69252,62991
34,0,0,66,72,29394,60024
35,0,0,63,51,59373,59046
36,0,0,81,72,71391,59676
37,0,0,51,60,37605,54081
38,0,0,57,60,52389,53049
39,0,0,48,51,58218,51774
40,0,0,81,63,33078,45705
41,0,0,45,45,42540,38628
42,0,0,51,45,56481,35178
43,0,0,42,42,24351,31818
44,0,0,75,36,36033,29286
45,0,0,42,36,48105,27237
46,0,0,42,36,50667,24267
47,0,0,33,33,31905,22980
48,0,0,60,33,54480,20010
49,0,0,24,21,21651,18714
50,0,0,24,33,29568,17517
51,0,0,24,21,36678,17208
52,0,0,60,27,20016,15441
53,0,0,18,42,18462,14835
54,0,0,15,36,35502,14223
55,0,0,15,36,18444,12963
56,0,0,57,30,12477,11361
57,0,0,18,21,24888,11319
58,0,0,18,36,17205,10098
59,0,0,18,30,6567,9507
60,0,0,66,18,29301,9165
61,0,0,12,9,18852,8814
62,0,0,12,42,5094,8172
63,0,0,12,3,24066,7461
64,0,0,39,6,18438,6801
65,0,0,63,15,3150,6147
66,0,0,0,12,24123,5433
67,0,0,0,6,22029,5193
68,0,0,0,9,1884,4857
69,0,0,0,15,17670,4551
70,0,0,0,6,16527,4626
71,0,0,0,15,1641,3747
72,0,0,0,21,16647,3105
73,0,0,0,33,16497,2775
74,0,0,0,39,891,2625
75,0,0,0,36,9555,2115
76,0,0,0,33,12405,1731
77,0,0,0,30,597,1731
78,0,0,0,18,9270,1539
79,0,0,0,9,8919,1437
80,0,0,0,3,318,1245
81,0,0,48,0,7176,1203
82,0,0,69,0,10281,1326
83,0,0,60,0,180,1119
84,0,0,51,0,4191,1101
85,0,0,42,0,7107,1005
86,0,0,33,0,78,864
87,0,0,24,0,2832,840
88,0,0,15,0,5514,951
89,0,0,6,0,57,942
90,0,0,3,0,2511,630
91,0,0,0,0,2994,750
92,0,0,0,0,9,786
93,0,0,0,0,1983,423
94,0,0,0,0,5964,378
95,0,0,0,0,3,447
96,0,0,0,0,1317,456
97,0,0,0,0,1494,399
98,0,0,0,0,3,339
99,0,0,0,0,858,375
100,0,0,0,0,1881,321
101,0,0,0,0,0,204
102,0,0,0,0,744,156
103,0,0,0,0,1494,195
104,0,0,0,0,0,111
105,0,0,0,0,633,105
106,0,0,0,0,1362,126
107,0,0,0,0,0,54
108,0,0,0,0,255,63
109,0,0,0,0,876,24
110,0,0,0,0,0,63
111,0,0,0,0,60,3
112,0,0,0,0,429,45
114,0,0,0,0,51,18
115,0,0,0,0,282,18
116,0,0,0,0,0,39
117,0,0,0,0,12,0
118,0,0,0,0,261,0
120,0,0,0,0,12,0
121,0,0,0,0,66,0
124,0,0,0,0,72,0
