Rank,Count (Max),Count (Avg)
0,117,117
1,6,6
2,6,6
3,12,21
4,12,30
5,15,33
6,24,24
7,27,54
8,24,48
9,30,30
10,42,42
11,39,87
12,36,72
13,45,57
14,57,75
15,57,99
16,60,93
17,66,120
18,90,144
19,96,147
20,93,165
21,96,153
22,126,168
23,138,216
24,129,246
25,159,267
26,192,324
27,201,336
28,198,333
29,240,312
30,267,384
31,282,366
32,297,330
33,306,369
34,288,417
35,285,438
36,297,483
37,318,546
38,324,573
39,357,642
40,363,546
41,405,636
42,387,687
43,420,777
44,477,696
45,549,690
46,516,780
47,525,744
48,546,720
49,564,867
50,483,987
51,573,921
52,624,891
53,660,948
54,597,906
55,660,954
56,663,1044
57,681,1113
58,663,1218
59,693,1296
60,690,1380
61,696,1554
62,696,1755
63,768,1797
64,786,1935
65,816,2085
66,819,2334
67,861,2568
68,855,2640
69,939,2757
70,999,3012
71,1062,3189
72,1050,3105
73,1092,3162
74,1137,2949
75,1071,2721
76,1056,2553
77,1149,2598
78,1257,2424
79,1308,2370
80,1389,2256
81,1509,2166
82,1632,2031
83,1704,2031
84,1797,2226
85,1815,2145
86,1797,2007
87,1797,1845
88,1860,2004
89,1950,2322
90,2046,2499
91,2106,2601
92,2181,2832
93,2265,2904
94,2337,3087
95,2379,3129
96,2415,3291
97,2397,3561
98,2340,3642
99,2286,3846
100,2301,3909
101,2229,4029
102,2100,3666
103,1923,3264
104,1986,3135
105,2085,2772
106,2133,2703
107,2091,2334
108,2154,2136
109,2214,1929
110,2169,1836
111,2070,1527
112,2103,1488
113,2073,1617
114,2085,1404
115,2133,1305
116,2220,1227
117,2226,1194
118,2199,1194
119,2181,1095
120,2169,897
121,2211,795
122,2289,801
123,2313,714
124,2328,594
125,2367,459
126,2379,393
127,2460,291
128,2556,255
129,2550,258
130,2514,219
131,2514,210
132,2496,186
133,2385,156
134,2235,36
135,2193,9
136,2085,3
137,2010,0
138,1899,0
139,1779,0
140,1578,0
141,1386,0
142,1251,0
143,1158,0
144,1083,0
145,954,0
146,798,0
147,660,0
148,570,0
149,471,0
150,366,0
151,267,0
152,243,0
153,243,0
154,234,0
155,234,0
156,234,0
157,234,0
158,210,0
159,198,0
160,189,0
161,156,0
162,108,0
163,81,0
164,72,0
165,57,0
166,33,0
167,18,0
168,18,0
169,15,0
170,9,0
