Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-23,0,0,0,0
A,-22,0,0,0,0
A,-21,0,0,4096,4096
A,-20,0,0,0,0
A,-19,0,0,16640,16640
A,-18,0,0,0,0
A,-17,0,0,26624,26624
A,-16,0,0,0,0
A,-15,0,0,23552,22976
A,-14,0,0,0,576
A,-13,0,0,18432,18382
A,-12,0,0,0,50
A,-11,0,0,49408,17840
A,-10,0,0,0,19274
A,-9,0,0,314624,168994
A,-8,0,0,0,80514
A,-7,0,0,1055232,792062
A,-6,0,0,0,175636
A,-5,0,0,1659392,1440020
A,-4,0,0,0,241164
A,-3,0,0,1214464,1106904
A,-2,0,0,0,281648
A,-1,0,0,6496512,6283888
A,0,0,0,0,211459
A,1,17,17,4223471,4158422
A,2,0,0,0,251850
A,3,0,0,1030912,940064
A,4,0,0,0,200570
A,5,0,0,1373184,1185962
A,6,0,0,0,149168
A,7,0,0,849920,623264
A,8,0,0,0,73368
A,9,0,0,252416,125620
A,10,0,0,0,45220
A,11,0,0,544768,693732
A,12,0,16,0,186918
A,13,16,0,808944,599386
A,14,0,0,0,107452
A,15,0,0,326656,39504
A,16,0,0,0,0
A,17,0,0,51200,51200
A,18,0,0,0,0
A,19,0,0,33024,33024
A,20,0,0,0,0
A,21,0,0,4096,8179
A,22,0,0,0,6863
A,23,0,1,4096,58684
A,24,0,0,0,1
A,25,1,0,65535,0
B,-23,0,0,0,0
B,-22,0,0,0,0
B,-21,0,0,0,0
B,-20,0,0,0,0
B,-19,0,0,0,0
B,-18,0,0,0,0
B,-17,0,0,0,0
B,-16,0,0,0,0
B,-15,0,0,0,0
B,-14,0,0,0,0
B,-13,0,0,71680,12
B,-12,0,0,0,16694
B,-11,0,0,131712,148017
B,-10,0,0,0,35154
B,-9,0,0,38144,21307
B,-8,0,0,0,7911
B,-7,0,0,73728,65817
B,-6,0,0,0,6309
B,-5,0,0,60160,67419
B,-4,0,0,0,1684
B,-3,0,0,17792,22892
B,-2,0,0,0,233260
B,-1,0,0,7995392,7535755
B,0,0,0,0,360454
B,1,17,17,4980719,4711579
B,2,0,0,0,135063
B,3,0,0,17792,22892
B,4,0,0,0,1684
B,5,0,0,77952,90330
