Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-15,0,0,0,0
A,-14,0,0,0,0
A,-13,0,0,0,0
A,-12,0,0,0,0
A,-11,0,0,0,0
A,-10,0,0,0,0
A,-9,0,0,0,0
A,-8,0,0,0,0
A,-7,0,0,7456,0
A,-6,0,0,0,1200
A,-5,0,0,7840,4608
A,-4,0,0,0,4993
A,-3,0,0,4688,7518
A,-2,0,0,0,13331
A,-1,0,0,168432,121863
A,0,0,0,0,47734
A,1,10,10,89454,73413
A,2,0,0,0,3954
A,3,0,0,6152,4783
A,4,0,0,0,2155
A,5,0,0,3000,3432
A,6,0,2,0,2629
A,7,2,0,2342,2251
A,8,0,0,0,903
A,9,0,0,2576,133
A,10,0,0,0,0
A,11,0,0,2960,0
A,12,0,0,0,0
A,13,0,0,0,0
A,14,0,0,0,0
A,15,0,0,0,0
A,16,0,0,0,0
A,17,0,0,0,0
B,-15,0,0,0,0
B,-14,0,0,0,0
B,-13,0,0,0,0
B,-12,0,0,0,0
B,-11,0,0,352,1
B,-10,0,0,0,25
B,-9,0,0,1360,273
B,-8,0,0,0,443
B,-7,0,0,4724,980
B,-6,0,0,0,1455
B,-5,0,0,22524,4404
B,-4,0,0,0,10367
B,-3,0,0,20876,14964
B,-2,0,0,0,21610
B,-1,0,0,179540,138185
B,0,0,0,0,44892
B,1,14,14,110870,101583
B,2,0,0,0,14816
B,3,0,0,15852,11451
B,4,0,0,0,6636
B,5,0,0,16468,3406
B,6,0,2,0,3708
B,7,4,2,5200,4397
B,8,0,2,0,3551
B,9,2,0,7502,2902
B,10,0,0,0,1161
B,11,0,2,4920,1379
B,12,0,0,0,592
B,13,2,0,1214,13
B,14,0,0,0,0
B,15,0,0,1792,0
B,16,0,0,0,0
B,17,0,0,0,0
C,-15,0,0,0,0
C,-14,0,0,0,0
C,-13,0,0,0,0
C,-12,0,0,0,0
C,-11,0,0,736,1
C,-10,0,0,0,45
C,-9,0,0,1280,409
C,-8,0,0,0,633
C,-7,0,0,3688,821
C,-6,0,0,0,1220
C,-5,0,0,15992,3997
C,-4,0,0,0,9044
C,-3,0,0,34112,14192
C,-2,0,0,0,26048
C,-1,0,0,169176,134911
C,0,0,0,0,47204
C,1,14,14,111402,99457
C,2,0,0,0,17996
C,3,0,0,24368,9967
C,4,0,0,0,5621
C,5,0,0,11784,3736
C,6,0,2,0,4028
C,7,4,2,4900,4002
C,8,0,2,0,3933
C,9,2,0,7422,2896
C,10,0,0,0,1094
C,11,0,2,5328,1464
C,12,0,0,0,471
C,13,2,0,1214,4
C,14,0,0,0,0
C,15,0,0,1792,0
C,16,0,0,0,0
C,17,0,0,0,0
D,-15,0,0,0,0
D,-14,0,0,0,0
D,-13,0,0,2560,0
D,-12,0,0,0,0
D,-11,0,0,5392,36
D,-10,0,0,0,264
D,-9,0,0,10536,1997
D,-8,0,0,0,5221
D,-7,0,0,13952,6376
D,-6,0,0,0,6829
D,-5,0,0,16120,7356
D,-4,0,0,0,8706
D,-3,0,0,11200,10717
D,-2,0,0,0,26153
D,-1,0,0,163840,134440
D,0,0,0,0,33376
D,1,10,10,119062,96952
D,2,0,0,0,21946
D,3,0,0,14384,9352
D,4,0,0,0,7617
D,5,0,0,16712,9857
D,6,0,2,0,8515
D,7,2,0,13870,8967
D,8,0,0,0,5927
D,9,0,0,13896,3403
D,10,0,0,0,4493
D,11,0,8,8992,3523
D,12,0,0,0,2503
D,13,8,0,5256,1316
D,14,0,0,0,122
D,15,0,0,6848,0
D,16,0,0,0,0
D,17,0,0,3344,0
E,-15,0,0,1672,0
E,-14,0,0,0,0
E,-13,0,0,1280,1
E,-12,0,0,0,225
E,-11,0,0,520,491
E,-10,0,0,0,866
E,-9,0,0,5168,892
E,-8,0,0,0,739
E,-7,0,0,5308,1495
E,-6,0,0,0,2936
E,-5,0,0,4588,4477
E,-4,0,0,0,2840
E,-3,0,0,7144,4157
E,-2,0,0,0,16476
E,-1,0,0,181428,146154
E,0,0,0,0,46194
E,1,14,14,134638,108200
E,2,0,0,0,17835
E,3,0,0,12752,5728
E,4,0,0,0,4497
E,5,0,0,7968,7406
E,6,0,4,0,5657
E,7,4,0,9472,5239
E,8,0,0,0,3391
E,9,2,2,9806,2385
E,10,0,0,0,1651
E,11,0,2,5172,1285
E,12,0,0,0,1199
E,13,2,0,1654,565
E,14,0,0,0,207
E,15,0,0,2952,6
E,16,0,0,0,0
E,17,0,0,1672,0
F,-15,0,0,1672,0
F,-14,0,0,0,0
F,-13,0,0,1280,1
F,-12,0,0,0,225
F,-11,0,0,520,491
F,-10,0,0,0,866
F,-9,0,0,5168,892
F,-8,0,0,0,739
F,-7,0,0,5308,1495
F,-6,0,0,0,2936
F,-5,0,0,4588,4477
F,-4,0,0,0,2840
F,-3,0,0,7144,4157
F,-2,0,0,0,16476
F,-1,0,0,181428,146154
F,0,0,0,0,46194
F,1,14,14,134638,108200
F,2,0,0,0,17835
F,3,0,0,12752,5728
F,4,0,0,0,4497
F,5,0,0,7968,7406
F,6,0,4,0,5657
F,7,4,0,9472,5239
F,8,0,0,0,3391
F,9,2,2,9806,2385
F,10,0,0,0,1651
F,11,0,2,5172,1285
F,12,0,0,0,1199
F,13,2,0,1654,565
F,14,0,0,0,207
F,15,0,0,2952,6
F,16,0,0,0,0
F,17,0,0,1672,0
