Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-15,3344,0,0,0,3344,0
-13,5120,2,0,0,5120,2
-12,0,450,0,0,0,450
-11,7288,1020,0,0,7520,1020
-10,0,2066,0,0,0,2066
-9,22408,4463,0,0,23512,4463
-8,0,7655,0,0,0,7775
-7,36548,10737,0,0,40436,11167
-6,0,14539,0,0,0,16576
-5,62872,24923,0,0,71652,29319
-4,0,34981,0,0,0,38790
-3,69524,50086,0,0,85164,55705
-2,0,95365,0,0,0,120094
-1,745308,626295,0,0,1043844,821707
0,0,78358,0,0,0,265594
1,0,1448,76,76,700064,587805
2,0,24,0,0,0,94382
3,0,0,0,0,86260,47009
4,0,0,0,0,0,31023
5,0,0,0,0,63900,35243
6,0,0,0,16,0,30194
7,0,0,20,4,45256,30095
8,0,0,0,4,0,21096
9,0,0,8,4,51008,14104
10,0,0,0,0,0,10050
11,0,0,0,16,32544,8936
12,0,0,0,0,0,5964
13,0,0,16,0,10992,2463
14,0,0,0,0,0,536
15,0,0,0,0,16336,12
17,0,0,0,0,6688,0
