Rank,Count (Max),Count (Avg)
0,15,15
1,252,252
2,1980,1980
3,9663,9663
4,32808,32808
5,82261,82261
6,157859,157862
7,237358,237387
8,284896,284989
9,279708,279714
10,237915,238412
11,203082,204151
12,214444,217315
13,280622,283423
14,375911,379667
15,460503,478907
16,512170,551051
17,540573,581948
18,564405,616163
19,577651,550988
20,552650,524445
21,478763,428767
22,384208,355038
23,313898,299576
24,293198,294991
25,313120,312018
26,340983,340201
27,345174,344705
28,318214,321083
29,277074,285647
30,238613,245450
31,200837,194715
32,153409,146449
33,98179,88501
34,49645,45168
35,18934,16604
36,5172,4173
37,936,649
38,97,48
39,4,0
