Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-5,0,0,42,0
A,-4,0,0,380,198
A,-3,0,0,1058,924
A,-2,0,0,1526,1680
A,-1,0,0,1326,1452
A,0,1632,1632,1224,1380
A,1,516,516,810,936
A,2,816,816,710,864
A,3,558,558,500,366
A,4,150,150,230,48
A,5,0,0,42,0
B,-5,0,0,0,0
B,-4,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,122,80
B,-1,0,0,838,840
B,0,1088,1088,832,912
B,1,86,86,752,754
B,2,50,50,72,30
B,3,0,0,0,0
B,4,0,0,0,0
B,5,0,0,0,0
C,-5,0,0,0,0
C,-4,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,122,80
C,-1,0,0,838,840
C,0,1088,1088,832,912
C,1,86,86,752,754
C,2,50,50,72,30
C,3,0,0,0,0
C,4,0,0,0,0
C,5,0,0,0,0
D,-5,0,0,0,0
D,-4,0,0,0,0
D,-3,0,0,0,0
D,-2,0,0,122,80
D,-1,0,0,838,840
D,0,1088,1088,832,912
D,1,86,86,752,754
D,2,50,50,72,30
D,3,0,0,0,0
D,4,0,0,0,0
D,5,0,0,0,0
E,-5,0,0,0,0
E,-4,0,0,0,0
E,-3,0,0,0,0
E,-2,0,0,126,28
E,-1,0,0,1956,1824
E,0,2088,2088,1428,1888
E,1,360,360,1596,1464
E,2,0,0,126,28
E,3,0,0,0,0
E,4,0,0,0,0
E,5,0,0,0,0
F,-5,0,0,56,0
F,-4,0,0,506,326
F,-3,0,0,1290,1064
F,-2,0,0,1712,1850
F,-1,0,0,1842,2076
F,0,2376,2376,2172,2352
F,1,858,858,984,1218
F,2,864,864,848,986
F,3,600,600,690,464
F,4,198,198,308,128
F,5,0,0,56,0
G,-5,0,0,0,0
G,-4,0,0,0,0
G,-3,0,0,0,0
G,-2,0,0,74,54
G,-1,0,0,694,700
G,0,1152,1152,1152,1180
G,1,54,54,640,646
G,2,18,18,56,36
G,3,0,0,0,0
G,4,0,0,0,0
G,5,0,0,0,0
H,-5,0,0,0,0
H,-4,0,0,0,0
H,-3,0,0,0,0
H,-2,0,0,74,54
H,-1,0,0,694,700
H,0,1152,1152,1152,1180
H,1,54,54,640,646
H,2,18,18,56,36
H,3,0,0,0,0
H,4,0,0,0,0
H,5,0,0,0,0
I,-5,0,0,0,0
I,-4,0,0,0,0
I,-3,0,0,0,0
I,-2,0,0,74,54
I,-1,0,0,694,700
I,0,1152,1152,1152,1180
I,1,54,54,640,646
I,2,18,18,56,36
I,3,0,0,0,0
I,4,0,0,0,0
I,5,0,0,0,0
