Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-3,0,0,0,0
A,-2,0,0,0,0
A,-1,0,0,2500,2500
A,0,2160,2160,5340,5340
A,1,720,720,1780,1780
A,2,0,0,0,0
A,3,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,0,0
B,-1,0,0,3500,3500
B,0,1440,1440,4060,4060
B,1,1440,1440,2060,2060
B,2,0,0,0,0
B,3,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,0,0
C,-1,0,0,3500,3500
C,0,1440,1440,4060,4060
C,1,1440,1440,2060,2060
C,2,0,0,0,0
C,3,0,0,0,0
D,-3,0,0,60,60
D,-2,0,0,880,880
D,-1,0,0,3140,3140
D,0,720,720,3620,3620
D,1,1500,1500,1640,1640
D,2,600,600,280,280
D,3,60,60,0,0
E,-3,0,0,0,0
E,-2,0,0,300,300
E,-1,0,0,3500,3500
E,0,960,960,3940,3940
E,1,1680,1680,1820,1820
E,2,240,240,60,60
E,3,0,0,0,0
