Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-2,0,0,480,480
A,-1,0,0,978,978
A,0,60,60,1398,1398
A,1,132,132,846,846
A,2,60,60,420,420
B,-2,0,0,480,480
B,-1,0,0,978,978
B,0,60,60,1398,1398
B,1,132,132,846,846
B,2,60,60,420,420
C,-2,0,0,480,480
C,-1,0,0,978,978
C,0,60,60,1398,1398
C,1,132,132,846,846
C,2,60,60,420,420
D,-2,0,0,480,480
D,-1,0,0,978,978
D,0,60,60,1398,1398
D,1,132,132,846,846
D,2,60,60,420,420
E,-2,0,0,480,480
E,-1,0,0,978,978
E,0,60,60,1398,1398
E,1,132,132,846,846
E,2,60,60,420,420
F,-2,0,0,480,480
F,-1,0,0,978,978
F,0,60,60,1398,1398
F,1,132,132,846,846
F,2,60,60,420,420
G,-2,0,0,480,480
G,-1,0,0,978,978
G,0,60,60,1398,1398
G,1,132,132,846,846
G,2,60,60,420,420
