Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-9,2,2,0,0,18,18
-8,18,18,0,0,144,144
-7,72,72,0,0,594,594
-6,168,168,0,0,1344,1344
-5,252,252,0,0,2088,2088
-4,252,252,0,0,2016,2016
-3,168,168,0,0,1512,1512
-2,72,72,0,0,576,576
-1,4626,4626,0,0,5004,5004
0,0,0,65568,65568,0,0
1,0,0,162,162,4842,4842
2,0,0,576,576,0,0
3,0,0,1344,1344,168,168
4,0,0,2016,2016,0,0
5,0,0,2016,2016,72,72
6,0,0,1344,1344,0,0
7,0,0,576,576,18,18
8,0,0,144,144,0,0
9,0,0,18,18,0,0
