node,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
0,216,3099,20976,83664,213024,355488,387072,689439,2398944,689439,387072,355488,213024,83664,20976,3099,216
1,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
5,216,3099,20976,83664,213024,355488,387072,689439,2398944,689439,387072,355488,213024,83664,20976,3099,216
6,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,223074,866052,223074,0,0,0,0,0,0,0
