node,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,0,0,1903104,19638720,80012160,238833216,356025600,238833216,80012160,19638720,1903104,0,0
1,0,0,0,0,0,12960000,103680000,12960000,0,0,0,0,0
2,0,0,0,0,0,44064000,171072000,44064000,0,0,0,0,0
3,103936,1561856,10708736,42766080,103390208,231691776,385954816,231691776,103390208,42766080,10708736,1561856,103936
4,0,490032,6102090,32327028,100771200,247414428,392190444,247414428,100771200,32327028,6102090,490032,0
5,0,0,0,0,6451200,139161600,227174400,139161600,6451200,0,0,0,0
6,0,0,0,0,0,103680000,181440000,103680000,0,0,0,0,0
7,0,0,0,0,6451200,139161600,227174400,139161600,6451200,0,0,0,0
8,0,0,0,0,0,103680000,181440000,103680000,0,0,0,0,0
9,0,0,0,0,14745600,132940800,223027200,132940800,14745600,0,0,0,0
10,0,0,0,0,0,86400000,216000000,86400000,0,0,0,0,0
11,0,0,0,0,0,62208000,134784000,62208000,0,0,0,0,0
