,rank,count
0,0,105
1,1,6
2,2,6
3,3,12
4,4,12
5,5,15
6,6,24
7,7,27
8,8,21
9,9,27
10,10,39
11,11,36
12,12,33
13,13,42
14,14,54
15,15,54
16,16,57
17,17,63
18,18,84
19,19,90
20,20,84
21,21,87
22,22,120
23,23,135
24,24,126
25,25,156
26,26,192
27,27,192
28,28,177
29,29,192
30,30,195
31,31,180
32,32,189
33,33,201
34,34,204
35,35,198
36,36,225
37,37,252
38,38,288
39,39,279
40,40,279
41,41,294
42,42,330
43,43,285
44,44,291
45,45,324
46,46,363
47,47,306
48,48,363
49,49,402
50,50,405
51,51,336
52,52,336
53,53,351
54,54,363
55,55,360
56,56,420
57,57,447
58,58,438
59,59,441
60,60,477
61,61,543
62,62,570
63,63,582
64,64,582
65,65,549
66,66,567
67,67,627
68,68,654
69,69,672
70,70,744
71,71,840
72,72,861
73,73,849
74,74,870
75,75,912
76,76,927
77,77,966
78,78,951
79,79,969
80,80,990
81,81,1032
82,82,996
83,83,963
84,84,975
85,85,954
86,86,882
87,87,813
88,88,783
89,89,774
90,90,759
91,91,786
92,92,792
93,93,825
94,94,780
95,95,732
96,96,687
97,97,735
98,98,759
99,99,759
100,100,753
101,101,768
102,102,753
103,103,789
104,104,831
105,105,882
106,106,861
107,107,894
108,108,882
109,109,867
110,110,861
111,111,903
112,112,864
113,113,759
114,114,672
115,115,621
116,116,546
117,117,465
118,118,384
119,119,303
120,120,228
121,121,174
122,122,153
123,123,126
124,124,90
125,125,69
126,126,48
127,127,51
128,128,48
129,129,51
130,130,51
131,131,45
132,132,54
133,133,42
134,134,24
135,135,15
136,136,12
137,137,9
