Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-9,2,2,0,0,18,18
-8,18,18,0,0,144,144
-7,72,72,0,0,594,594
-6,168,168,0,0,1344,1344
-5,252,252,0,0,2091,2091
-4,234,234,0,0,2016,2016
-3,165,165,0,0,1503,1503
-2,64,64,0,0,576,576
-1,4509,4509,0,0,5010,5010
0,0,0,65568,65568,0,0
1,0,0,186,186,4824,4824
2,0,0,576,576,0,0
3,0,0,1320,1320,183,183
4,0,0,2016,2016,0,0
5,0,0,2016,2016,75,75
6,0,0,1344,1344,0,0
7,0,0,576,576,18,18
8,0,0,144,144,0,0
9,0,0,18,18,0,0
