Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-6,0,0,0,0
0,-5,0,0,0,0
0,-4,0,0,256,256
0,-3,0,0,1856,1856
0,-2,0,0,3904,3904
0,-1,0,0,6336,6336
0,0,6252,6252,4884,4884
0,1,4056,4056,2280,2280
0,2,2340,2340,1564,1564
0,3,1112,1112,744,744
0,4,8,8,248,248
0,5,0,0,0,0
0,6,0,0,0,0
1,-6,0,0,0,0
1,-5,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,0,0
1,-2,0,0,0,0
1,-1,0,0,1792,1792
1,0,3120,3120,2256,2256
1,1,322,322,1470,1470
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
2,-6,0,0,0,0
2,-5,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,0,0
2,-2,0,0,0,0
2,-1,0,0,1792,1792
2,0,3120,3120,2256,2256
2,1,322,322,1470,1470
2,2,0,0,0,0
2,3,0,0,0,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
3,-6,0,0,0,0
3,-5,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,0,0
3,-2,0,0,0,0
3,-1,0,0,1792,1792
3,0,3120,3120,2256,2256
3,1,322,322,1470,1470
3,2,0,0,0,0
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,0,0,0,0
4,-6,0,0,96,96
4,-5,0,0,720,720
4,-4,0,0,2304,2304
4,-3,0,0,4000,4000
4,-2,0,0,3840,3840
4,-1,0,0,5520,5520
4,0,10900,10900,9900,9900
4,1,4140,4140,1380,1380
4,2,2070,2070,1770,1770
4,3,2120,2120,1880,1880
4,4,1110,1110,1194,1194
4,5,300,300,420,420
4,6,12,12,84,84
5,-6,0,0,0,0
5,-5,0,0,0,0
5,-4,0,0,0,0
5,-3,0,0,0,0
5,-2,0,0,0,0
5,-1,0,0,1280,1280
5,0,3392,3392,3008,3008
5,1,50,50,1230,1230
5,2,0,0,0,0
5,3,0,0,0,0
5,4,0,0,0,0
5,5,0,0,0,0
5,6,0,0,0,0
6,-6,0,0,0,0
6,-5,0,0,0,0
6,-4,0,0,0,0
6,-3,0,0,0,0
6,-2,0,0,0,0
6,-1,0,0,1280,1280
6,0,3392,3392,3008,3008
6,1,50,50,1230,1230
6,2,0,0,0,0
6,3,0,0,0,0
6,4,0,0,0,0
6,5,0,0,0,0
6,6,0,0,0,0
7,-6,0,0,0,0
7,-5,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,0,0
7,-2,0,0,0,0
7,-1,0,0,1280,1280
7,0,3392,3392,3008,3008
7,1,50,50,1230,1230
7,2,0,0,0,0
7,3,0,0,0,0
7,4,0,0,0,0
7,5,0,0,0,0
7,6,0,0,0,0
8,-6,0,0,0,0
8,-5,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,0,0
8,-2,0,0,0,0
8,-1,0,0,1280,1280
8,0,3392,3392,3008,3008
8,1,50,50,1230,1230
8,2,0,0,0,0
8,3,0,0,0,0
8,4,0,0,0,0
8,5,0,0,0,0
8,6,0,0,0,0
9,-6,0,0,0,0
9,-5,0,0,0,0
9,-4,0,0,0,0
9,-3,0,0,0,0
9,-2,0,0,0,0
9,-1,0,0,1280,1280
9,0,3392,3392,3008,3008
9,1,50,50,1230,1230
9,2,0,0,0,0
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,0,0,0,0
