Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-6,0,0,1,1
0,-5,0,0,161,161
0,-4,0,0,1153,1154
0,-3,0,0,3105,3105
0,-2,0,0,4603,4602
0,-1,0,0,6480,6483
0,0,7312,7312,7762,7756
0,1,4779,4779,1701,1704
0,2,2381,2381,2222,2221
0,3,1616,1616,1489,1489
0,4,552,552,601,602
0,5,10,10,151,151
0,6,0,0,1,1
1,-6,0,0,0,0
1,-5,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,0,0
1,-2,0,0,3,3
1,-1,0,0,1538,1539
1,0,3200,3200,2934,2932
1,1,130,130,1408,1409
1,2,0,0,3,3
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
2,-6,0,0,0,0
2,-5,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,0,0
2,-2,0,0,2,2
2,-1,0,0,1538,1539
2,0,3200,3200,2936,2934
2,1,130,130,1408,1409
2,2,0,0,2,2
2,3,0,0,0,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
3,-6,0,0,0,0
3,-5,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,0,0
3,-2,0,0,3,3
3,-1,0,0,1538,1539
3,0,3200,3200,2934,2932
3,1,130,130,1408,1409
3,2,0,0,3,3
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,0,0,0,0
4,-6,0,0,0,0
4,-5,0,0,0,0
4,-4,0,0,0,0
4,-3,0,0,0,0
4,-2,0,0,1,1
4,-1,0,0,1538,1539
4,0,3200,3200,2938,2936
4,1,130,130,1408,1409
4,2,0,0,1,1
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,0,0,0,0
5,-6,0,0,0,0
5,-5,0,0,160,160
5,-4,0,0,1153,1153
5,-3,0,0,3098,3095
5,-2,0,0,4594,4595
5,-1,0,0,6484,6486
5,0,7312,7312,7790,7790
5,1,4788,4788,1696,1698
5,2,2378,2381,2216,2214
5,3,1610,1607,1488,1488
5,4,552,552,601,601
5,5,10,10,150,150
5,6,0,0,0,0
6,-6,0,0,0,0
6,-5,0,0,0,0
6,-4,0,0,0,0
6,-3,0,0,0,0
6,-2,0,0,2,3
6,-1,0,0,1534,1533
6,0,3200,3200,2944,2944
6,1,130,130,1404,1403
6,2,0,0,2,3
6,3,0,0,0,0
6,4,0,0,0,0
6,5,0,0,0,0
6,6,0,0,0,0
7,-6,0,0,0,0
7,-5,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,0,0
7,-2,0,0,1,1
7,-1,0,0,1534,1533
7,0,3200,3200,2946,2948
7,1,130,130,1404,1403
7,2,0,0,1,1
7,3,0,0,0,0
7,4,0,0,0,0
7,5,0,0,0,0
7,6,0,0,0,0
8,-6,0,0,0,0
8,-5,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,0,0
8,-2,0,0,4,3
8,-1,0,0,1532,1533
8,0,3200,3200,2944,2944
8,1,130,130,1402,1403
8,2,0,0,4,3
8,3,0,0,0,0
8,4,0,0,0,0
8,5,0,0,0,0
8,6,0,0,0,0
9,-6,0,0,0,0
9,-5,0,0,0,0
9,-4,0,0,0,0
9,-3,0,0,1,1
9,-2,0,0,1,1
9,-1,0,0,1531,1530
9,0,3200,3200,2950,2952
9,1,130,130,1401,1400
9,2,0,0,1,1
9,3,0,0,1,1
9,4,0,0,0,0
9,5,0,0,0,0
9,6,0,0,0,0
