Rank,Count (Max),Count (Avg)
0,141,141
1,6,6
2,6,6
3,12,21
4,12,30
5,15,33
6,24,30
7,27,54
8,24,51
9,33,33
10,48,45
11,45,93
12,42,78
13,51,63
14,63,81
15,63,105
16,66,99
17,72,126
18,96,153
19,102,162
20,102,177
21,105,174
22,141,192
23,153,243
24,150,264
25,174,276
26,210,327
27,216,339
28,213,360
29,246,399
30,285,471
31,309,507
32,327,546
33,366,609
34,417,684
35,450,657
36,453,720
37,510,795
38,585,756
39,630,762
40,621,843
41,645,903
42,654,933
43,681,1035
44,705,1053
45,756,1194
46,783,1275
47,840,1281
48,843,1476
49,876,1623
50,930,1722
51,1047,1740
52,1047,1926
53,1146,1890
54,1245,1878
55,1341,2124
56,1302,2169
57,1452,2226
58,1554,2289
59,1620,2391
60,1536,2373
61,1608,2460
62,1629,2640
63,1692,2742
64,1629,2808
65,1770,2919
66,1872,2883
67,1995,2997
68,1929,3168
69,2064,3237
70,2148,3576
71,2238,3642
72,2193,3642
73,2229,3903
74,2238,4086
75,2424,4371
76,2457,4587
77,2514,4932
78,2439,5409
79,2652,5556
80,2697,5970
81,2682,6357
82,2784,6687
83,2997,7203
84,3009,7755
85,3000,8514
86,3168,9063
87,3393,9921
88,3399,10509
89,3513,11154
90,3618,11787
91,3711,12906
92,3621,13503
93,3720,14184
94,3837,14088
95,3912,14313
96,3987,14286
97,4260,14514
98,4449,13995
99,4590,14112
100,4752,13911
101,5016,13722
102,5337,13614
103,5604,13599
104,5847,13257
105,6033,13212
106,6183,13374
107,6390,13368
108,6546,12882
109,6684,12552
110,6855,12972
111,7002,13797
112,7224,14307
113,7605,13956
114,7977,14025
115,8313,13989
116,8730,13956
117,9243,14460
118,9591,15021
119,9741,15549
120,10059,16074
121,10398,16554
122,10674,18183
123,10758,19086
124,10905,20160
125,11013,21069
126,11205,22203
127,11352,22644
128,11631,24039
129,11856,24663
130,12024,25485
131,11934,26166
132,12114,26361
133,12387,27450
134,12678,26508
135,12666,25503
136,12666,26034
137,12684,25653
138,12759,25014
139,12969,23601
140,13233,22803
141,13311,21105
142,13317,20619
143,13326,19458
144,13479,18867
145,13674,18816
146,13953,18030
147,14037,17730
148,14373,17487
149,14592,16965
150,14559,16260
151,14190,16212
152,14097,15576
153,14268,14763
154,14502,14829
155,14793,14562
156,15360,14511
157,15837,14091
158,16170,13764
159,16350,13464
160,16581,13500
161,16869,13671
162,17229,13404
163,17178,13209
164,16923,12126
165,16884,11220
166,17208,10548
167,17580,9762
168,17820,9078
169,18096,8190
170,18366,7530
171,18543,6777
172,18570,5859
173,18516,5496
174,18564,4845
175,18720,4089
176,18699,3987
177,18621,3078
178,18597,2850
179,18834,2595
180,18819,2598
181,18726,2112
182,18492,1983
183,18318,1992
184,18006,2088
185,17592,2259
186,17154,1296
187,16668,987
188,16293,768
189,15993,705
190,15741,558
191,15381,489
192,14874,459
193,14301,324
194,13857,228
195,13434,117
196,12843,87
197,12096,105
198,11451,57
199,10803,18
200,10131,3
201,9423,0
202,8649,0
203,7848,0
204,7137,0
205,6480,0
206,5952,0
207,5385,0
208,4848,0
209,4290,0
210,3822,0
211,3450,0
212,3198,0
213,3033,0
214,2928,0
215,2790,0
216,2637,0
217,2505,0
218,2421,0
219,2346,0
220,2304,0
221,2325,0
222,2295,0
223,2214,0
224,2133,0
225,2049,0
226,1890,0
227,1671,0
228,1443,0
229,1242,0
230,1029,0
231,816,0
232,630,0
233,459,0
234,324,0
235,261,0
236,216,0
237,180,0
238,138,0
239,114,0
240,111,0
241,90,0
242,87,0
243,69,0
244,57,0
245,54,0
246,42,0
247,24,0
248,15,0
249,12,0
250,9,0
