Rank,Count (Max),Count (Avg)
0,153,153
1,809,809
2,2813,2822
3,7090,7232
4,14228,14925
5,23775,25758
6,35360,39890
7,47571,55940
8,59364,72118
9,70441,88867
10,79654,103506
11,86841,116771
12,92128,128594
13,95442,138907
14,97265,148800
15,98948,158937
16,99235,168338
17,98113,176694
18,97355,185157
19,95763,191667
20,94092,196740
21,92310,200166
22,90583,201004
23,88167,200730
24,85478,198733
25,83312,194015
26,81538,189121
27,79703,181610
28,77919,174956
29,75565,164892
30,73636,155306
31,72031,144258
32,70832,131076
33,68880,116370
34,67912,103267
35,66942,88445
36,66092,74190
37,64671,60007
38,63432,46839
39,63000,35682
40,62660,26524
41,61855,19227
42,61578,13627
43,61185,9722
44,61050,7097
45,61022,5376
46,60832,4171
47,60628,3236
48,61191,2557
49,61365,2054
50,62242,1561
51,62819,1190
52,62653,874
53,62824,698
54,62664,531
55,61972,393
56,61330,262
57,60423,187
58,59379,141
59,58460,89
60,57824,56
61,55888,36
62,54110,33
63,52363,19
64,49967,10
65,48187,4
66,46796,1
67,44660,1
68,42127,0
69,40184,0
70,37741,0
71,35497,0
72,33020,0
73,30318,0
74,27791,0
75,25128,0
76,22299,0
77,20416,0
78,18312,0
79,16067,0
80,14000,0
81,11857,0
82,10031,0
83,8207,0
84,6589,0
85,5138,0
86,3875,0
87,2758,0
88,1868,0
89,1279,0
90,875,0
91,551,0
92,321,0
93,184,0
94,92,0
95,49,0
96,19,0
97,5,0
98,1,0
