Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-141,0,0,0,0,84,0
-138,0,0,0,0,141,0
-137,12,0,0,0,12,0
-135,0,0,0,0,168,0
-134,24,0,0,0,24,0
-133,0,0,0,0,0,12
-132,0,0,0,0,390,36
-131,51,0,0,0,51,39
-130,0,0,0,0,0,6
-129,0,3,0,0,498,33
-128,84,9,0,0,84,24
-127,0,0,0,0,0,27
-126,0,3,0,0,1143,51
-125,282,12,0,0,294,57
-124,0,0,0,0,0,21
-123,0,9,0,0,1152,60
-122,612,24,0,0,636,108
-121,0,6,0,0,0,159
-120,0,9,0,0,2334,120
-119,927,30,0,0,975,219
-118,0,12,0,0,0,216
-117,0,111,0,0,2682,339
-116,1278,123,0,0,1398,330
-115,0,48,0,0,3,417
-114,0,114,0,0,3096,450
-113,1641,210,0,0,1902,669
-112,21,105,0,0,21,549
-111,3,153,0,0,3777,516
-110,1797,297,0,0,2688,639
-109,75,147,0,0,84,594
-108,3,207,0,0,5772,771
-107,3057,369,0,0,4074,753
-106,177,258,0,0,198,912
-105,9,312,0,0,10689,1389
-104,3480,408,0,0,4791,1317
-103,279,432,0,0,342,1296
-102,33,378,0,0,5841,1527
-101,3462,468,0,0,5178,1545
-100,360,504,0,0,471,1566
-99,96,603,0,0,9519,1797
-98,4287,543,0,0,9597,2130
-97,540,573,0,0,720,2082
-96,132,723,0,0,15888,2145
-95,7035,741,0,0,10326,2259
-94,849,705,0,0,1821,2109
-93,327,786,0,0,23187,2190
-92,12216,834,0,0,16104,2337
-91,894,783,0,0,1464,2457
-90,582,912,0,0,22638,2868
-89,13854,1095,0,0,18297,3024
-88,1077,984,0,0,2826,2994
-87,840,1038,0,0,28092,3495
-86,15501,1353,0,0,20514,4329
-85,1557,1269,0,0,3207,4338
-84,1152,1338,0,0,36819,4665
-83,19926,1806,0,0,27336,6063
-82,1158,1671,0,0,4542,6606
-81,2043,2067,0,0,46449,7200
-80,24483,2493,0,0,37056,8733
-79,1338,2781,0,0,4680,9651
-78,2133,3369,0,0,50346,10152
-77,25128,3900,0,0,39807,11397
-76,1611,3939,0,0,7962,12087
-75,2409,3873,0,0,62232,13209
