Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-54,0,0,0,0,3,0
-53,0,0,0,0,8,0
-52,2,0,0,0,4,0
-51,2,0,0,0,11,0
-50,1,0,0,0,17,0
-49,4,0,0,0,19,0
-48,3,0,0,0,36,0
-47,8,0,0,0,61,0
-46,13,0,0,0,84,0
-45,17,0,0,0,99,0
-44,34,0,0,0,127,0
-43,30,0,0,0,195,0
-42,54,0,0,0,292,0
-41,76,0,0,0,298,0
-40,72,0,0,0,385,0
-39,87,0,0,0,376,0
-38,141,0,0,0,549,0
-37,192,0,0,0,647,0
-36,165,0,0,0,798,0
-35,232,0,0,0,925,0
-34,291,0,0,0,1209,0
-33,343,0,0,0,1634,0
-32,487,0,0,0,1797,0
-31,476,0,0,0,2083,0
-30,656,0,0,0,2561,0
-29,768,0,0,0,2838,0
-28,833,0,0,0,3144,0
-27,1033,0,0,0,3965,2
-26,1263,2,0,0,4377,5
-25,1356,2,0,0,4946,17
-24,1499,5,0,0,5802,63
-23,2044,20,0,0,6895,135
-22,2233,32,0,0,7270,271
-21,2343,78,0,0,9150,420
-20,3045,119,0,0,9785,717
-19,3306,214,0,0,10115,1197
-18,3184,364,0,0,11808,1914
-17,3764,520,0,0,12830,2948
-16,4764,812,0,0,14128,4257
-15,3807,1277,0,0,14022,5867
-14,4489,1787,0,0,16514,8039
-13,5806,2426,0,0,17664,10119
-12,4516,3035,0,0,16984,12783
-11,5247,3854,0,0,19581,15465
-10,7636,4647,0,0,21594,18695
-9,5137,5539,0,0,19432,21597
-8,5347,6225,0,0,23843,25328
-7,10033,7219,0,0,26599,28834
-6,5661,8241,0,0,21953,33553
-5,6139,9975,0,0,29507,39122
-4,17941,12068,0,0,38696,46325
-3,5349,15688,0,0,24047,56407
-2,5893,23691,0,0,45376,76733
-1,85418,64225,0,0,121157,129086
0,0,23599,348,348,24152,100834
1,0,8468,357,357,120800,128729
2,0,3856,232,289,45144,76444
3,0,2127,189,186,23858,56221
4,0,1155,124,104,38572,46221
5,0,701,107,131,29400,38991
6,0,479,77,87,21876,33466
7,0,300,78,94,26521,28740
8,0,205,59,80,23784,25248
9,0,100,80,76,19352,21521
10,0,68,64,70,21530,18625
11,0,51,47,46,19534,15419
12,0,33,47,62,16937,12721
13,0,14,53,58,17611,10061
14,0,9,40,28,16474,8011
15,0,5,37,23,13985,5844
16,0,1,32,21,14096,4236
17,0,2,35,18,12795,2930
18,0,1,26,15,11782,1899
19,0,0,12,2,10103,1195
20,0,1,16,3,9769,714
21,0,0,10,1,9140,419
22,0,0,7,0,7263,271
23,0,0,9,0,6886,135
24,0,0,7,1,5795,62
25,0,0,2,0,4944,17
26,0,0,0,0,4377,5
27,0,0,0,0,3965,2
28,0,0,2,0,3142,0
29,0,0,2,0,2836,0
30,0,0,0,0,2561,0
31,0,0,1,0,2082,0
32,0,0,0,0,1797,0
33,0,0,0,0,1634,0
34,0,0,0,0,1209,0
35,0,0,0,0,925,0
36,0,0,0,0,798,0
37,0,0,0,0,647,0
38,0,0,0,0,549,0
39,0,0,0,0,376,0
40,0,0,0,0,385,0
41,0,0,0,0,298,0
42,0,0,0,0,292,0
43,0,0,0,0,195,0
44,0,0,0,0,127,0
45,0,0,0,0,99,0
46,0,0,0,0,84,0
47,0,0,0,0,61,0
48,0,0,0,0,36,0
49,0,0,0,0,19,0
50,0,0,0,0,17,0
51,0,0,0,0,11,0
52,0,0,0,0,4,0
53,0,0,0,0,8,0
54,0,0,0,0,3,0
