Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-20,0,0,3,0
0,-19,0,0,3,0
0,-18,0,0,0,0
0,-17,0,0,3,0
0,-16,0,0,9,0
0,-15,0,0,6,0
0,-14,0,0,0,0
0,-13,0,0,24,6
0,-12,0,0,6,15
0,-11,0,0,3,0
0,-10,0,0,9,18
0,-9,0,0,9,9
0,-8,0,0,36,15
0,-7,0,0,21,15
0,-6,0,0,15,18
0,-5,0,0,12,45
0,-4,0,0,9,18
0,-3,0,0,6,12
0,-2,0,0,6,9
0,-1,0,0,45,27
0,0,36,36,0,36
0,1,0,0,45,27
0,2,3,3,3,6
0,3,3,3,3,9
0,4,0,6,9,12
0,5,0,12,12,33
0,6,6,12,9,6
0,7,12,6,9,9
0,8,9,0,27,15
0,9,6,0,3,9
0,10,3,3,6,15
0,11,0,0,3,0
0,12,0,9,6,6
0,13,0,0,24,6
0,14,0,0,0,0
0,15,6,0,0,0
0,16,6,0,3,0
0,17,0,0,3,0
0,18,0,0,0,0
0,19,0,0,3,0
0,20,0,0,3,0
1,-20,0,0,0,0
1,-19,0,0,3,0
1,-18,0,0,6,0
1,-17,0,0,0,0
1,-16,0,0,6,0
1,-15,0,0,3,0
1,-14,0,0,15,3
1,-13,0,0,3,3
1,-12,0,0,3,9
1,-11,0,0,15,3
1,-10,0,0,30,15
1,-9,0,0,0,3
1,-8,0,0,0,30
1,-7,0,0,24,15
1,-6,0,0,15,3
1,-5,0,0,6,21
1,-4,0,0,24,18
1,-3,0,0,6,18
1,-2,0,0,21,24
1,-1,0,0,48,51
1,0,24,24,6,30
1,1,0,0,48,51
1,2,0,0,21,24
1,3,6,9,0,9
1,4,3,12,21,6
1,5,3,15,3,6
1,6,9,0,6,3
1,7,15,6,9,9
1,8,0,9,0,21
1,9,0,0,0,3
1,10,6,0,24,15
1,11,9,3,6,0
1,12,0,9,3,0
1,13,0,3,3,0
1,14,0,0,15,3
1,15,3,0,0,0
1,16,6,0,0,0
1,17,0,0,0,0
1,18,6,0,0,0
1,19,0,0,3,0
1,20,0,0,0,0
2,-20,0,0,0,0
2,-19,0,0,6,0
2,-18,0,0,0,0
2,-17,0,0,0,0
2,-16,0,0,9,0
2,-15,0,0,3,0
2,-14,0,0,3,6
2,-13,0,0,15,3
2,-12,0,0,0,6
2,-11,0,0,21,3
2,-10,0,0,21,9
2,-9,0,0,12,6
2,-8,0,0,9,33
2,-7,0,0,3,21
2,-6,0,0,3,6
2,-5,0,0,9,6
2,-4,0,0,3,18
2,-3,0,0,15,12
2,-2,0,0,27,21
2,-1,0,0,72,57
2,0,24,24,0,48
2,1,6,6,66,51
2,2,3,3,24,18
2,3,6,6,9,6
2,4,0,9,3,9
2,5,6,6,3,0
2,6,3,0,0,6
2,7,3,12,0,9
2,8,3,12,6,21
2,9,12,0,0,6
2,10,6,0,15,9
2,11,6,3,15,0
2,12,0,3,0,3
2,13,0,3,15,0
2,14,0,3,3,3
2,15,3,0,0,0
2,16,6,0,3,0
2,17,0,0,0,0
2,18,0,0,0,0
2,19,3,0,3,0
2,20,0,0,0,0
3,-20,0,0,3,0
3,-19,0,0,3,0
3,-18,0,0,0,0
3,-17,0,0,0,0
3,-16,0,0,3,0
3,-15,0,0,6,3
3,-14,0,0,3,3
3,-13,0,0,6,3
3,-12,0,0,3,6
3,-11,0,0,9,3
3,-10,0,0,3,6
3,-9,0,0,15,9
3,-8,0,0,9,3
3,-7,0,0,24,18
3,-6,0,0,24,12
3,-5,0,0,6,18
3,-4,0,0,27,24
3,-3,0,0,12,21
3,-2,0,0,21,27
3,-1,0,0,51,57
3,0,30,30,0,30
3,1,9,9,42,48
3,2,6,6,15,21
3,3,3,3,9,18
3,4,0,3,27,21
3,5,0,3,6,15
3,6,3,3,21,9
3,7,3,3,21,15
3,8,3,0,6,3
3,9,3,6,12,3
3,10,0,6,3,0
3,11,6,3,3,0
3,12,3,6,0,0
3,13,3,3,3,0
3,14,3,3,0,0
3,15,6,3,0,0
3,16,3,0,0,0
3,17,0,0,0,0
3,18,0,0,0,0
3,19,3,0,0,0
3,20,3,0,0,0
4,-20,0,0,0,0
4,-19,0,0,0,0
4,-18,0,0,0,0
4,-17,0,0,0,0
4,-16,0,0,0,0
4,-15,0,0,0,0
4,-14,0,0,0,0
4,-13,0,0,0,0
4,-12,0,0,0,0
4,-11,0,0,51,0
4,-10,0,0,6,0
4,-9,0,0,6,12
4,-8,0,0,6,27
4,-7,0,0,12,24
4,-6,0,0,3,12
4,-5,0,0,3,3
4,-4,0,0,18,9
4,-3,0,0,0,18
4,-2,0,0,6,12
4,-1,0,0,60,57
4,0,54,54,90,84
4,1,6,6,54,51
4,2,0,0,6,12
4,3,0,6,0,12
4,4,6,0,12,9
4,5,0,0,3,3
4,6,0,6,3,6
4,7,0,6,12,18
4,8,6,6,0,21
4,9,6,6,0,6
4,10,6,0,0,0
4,11,6,0,45,0
4,12,0,0,0,0
4,13,0,0,0,0
4,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,0,0
4,19,0,0,0,0
4,20,0,0,0,0
