Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-54,0,0,0,0
0,-53,0,0,0,0
0,-52,0,0,0,0
0,-51,0,0,3,0
0,-50,0,0,3,0
0,-49,0,0,3,0
0,-48,0,0,9,0
0,-47,0,0,16,0
0,-46,0,0,19,0
0,-45,0,0,16,0
0,-44,0,0,26,0
0,-43,0,0,24,0
0,-42,0,0,28,0
0,-41,0,0,46,0
0,-40,0,0,55,0
0,-39,0,0,36,0
0,-38,0,0,65,0
0,-37,0,0,80,0
0,-36,0,0,85,0
0,-35,0,0,114,0
0,-34,0,0,163,0
0,-33,0,0,201,0
0,-32,0,0,233,0
0,-31,0,0,223,0
0,-30,0,0,288,0
0,-29,0,0,356,0
0,-28,0,0,365,0
0,-27,0,0,519,0
0,-26,0,0,610,0
0,-25,0,0,640,0
0,-24,0,0,712,5
0,-23,0,0,870,11
0,-22,0,0,773,37
0,-21,0,0,1023,51
0,-20,0,0,1132,120
0,-19,0,0,1101,200
0,-18,0,0,1348,288
0,-17,0,0,1429,443
0,-16,0,0,1579,678
0,-15,0,0,1575,816
0,-14,0,0,1827,1049
0,-13,0,0,1857,1245
0,-12,0,0,1840,1644
0,-11,0,0,2048,1953
0,-10,0,0,2331,2311
0,-9,0,0,2428,2796
0,-8,0,0,2662,3104
0,-7,0,0,2945,3403
0,-6,0,0,2773,4006
0,-5,0,0,2809,4356
0,-4,0,0,3499,5081
0,-3,0,0,2467,5499
0,-2,0,0,3217,6410
0,-1,0,0,9337,9871
0,0,36,36,2446,7308
0,1,9,9,9328,9862
0,2,5,6,3212,6404
0,3,8,10,2459,5489
0,4,15,15,3484,5066
0,5,15,16,2794,4340
0,6,15,12,2758,3994
0,7,15,19,2930,3384
0,8,18,21,2644,3083
0,9,19,17,2409,2779
0,10,16,16,2315,2295
0,11,11,10,2037,1943
0,12,8,9,1832,1635
0,13,8,7,1849,1238
0,14,6,3,1821,1046
0,15,3,2,1572,814
0,16,2,1,1577,677
0,17,1,1,1428,442
0,18,0,0,1348,288
0,19,0,0,1101,200
0,20,0,0,1132,120
0,21,0,0,1023,51
0,22,0,0,773,37
0,23,0,0,870,11
0,24,0,0,712,5
0,25,0,0,640,0
0,26,0,0,610,0
0,27,0,0,519,0
0,28,0,0,365,0
0,29,0,0,356,0
0,30,0,0,288,0
0,31,0,0,223,0
0,32,0,0,233,0
0,33,0,0,201,0
0,34,0,0,163,0
0,35,0,0,114,0
0,36,0,0,85,0
0,37,0,0,80,0
0,38,0,0,65,0
0,39,0,0,36,0
0,40,0,0,55,0
0,41,0,0,46,0
0,42,0,0,28,0
0,43,0,0,24,0
0,44,0,0,26,0
0,45,0,0,16,0
0,46,0,0,19,0
0,47,0,0,16,0
0,48,0,0,9,0
0,49,0,0,3,0
0,50,0,0,3,0
0,51,0,0,3,0
0,52,0,0,0,0
0,53,0,0,0,0
0,54,0,0,0,0
1,-54,0,0,3,0
1,-53,0,0,3,0
1,-52,0,0,1,0
1,-51,0,0,1,0
1,-50,0,0,1,0
1,-49,0,0,9,0
1,-48,0,0,11,0
1,-47,0,0,16,0
1,-46,0,0,16,0
1,-45,0,0,22,0
1,-44,0,0,28,0
1,-43,0,0,40,0
1,-42,0,0,62,0
1,-41,0,0,39,0
1,-40,0,0,61,0
1,-39,0,0,62,0
1,-38,0,0,100,0
1,-37,0,0,99,0
1,-36,0,0,165,0
1,-35,0,0,134,0
1,-34,0,0,225,0
1,-33,0,0,296,0
1,-32,0,0,301,0
1,-31,0,0,408,0
1,-30,0,0,422,0
1,-29,0,0,440,0
1,-28,0,0,434,0
1,-27,0,0,489,1
1,-26,0,0,531,0
1,-25,0,0,650,4
1,-24,0,0,657,23
1,-23,0,0,722,30
1,-22,0,0,847,78
1,-21,0,0,1016,75
1,-20,0,0,914,148
1,-19,0,0,992,242
1,-18,0,0,1340,348
1,-17,0,0,1237,450
1,-16,0,0,1313,583
1,-15,0,0,1509,768
1,-14,0,0,1630,1076
1,-13,0,0,1562,1255
1,-12,0,0,1625,1521
1,-11,0,0,1817,1736
1,-10,0,0,1952,1880
1,-9,0,0,1720,2188
1,-8,0,0,2268,2394
1,-7,0,0,2468,2703
1,-6,0,0,1758,3089
1,-5,0,0,2614,3592
1,-4,0,0,3710,4206
1,-3,0,0,2119,5356
1,-2,0,0,4618,7605
1,-1,0,0,12934,13080
1,0,24,24,1252,9212
1,1,41,41,12893,13039
1,2,20,27,4598,7578
1,3,15,13,2104,5343
1,4,10,7,3700,4199
1,5,10,13,2604,3579
1,6,4,5,1754,3084
1,7,8,14,2460,2689
1,8,5,10,2263,2384
1,9,7,6,1713,2182
1,10,4,5,1948,1875
1,11,2,5,1815,1731
1,12,8,13,1617,1508
1,13,8,7,1554,1248
1,14,4,5,1626,1071
1,15,6,4,1503,764
1,16,6,1,1307,582
1,17,11,3,1226,447
1,18,7,5,1333,343
1,19,2,1,990,241
1,20,2,0,912,148
1,21,2,0,1014,75
1,22,2,0,845,78
1,23,1,0,721,30
1,24,0,1,657,22
1,25,0,0,650,4
1,26,0,0,531,0
1,27,0,0,489,1
1,28,0,0,434,0
1,29,0,0,440,0
1,30,0,0,422,0
1,31,1,0,407,0
1,32,0,0,301,0
1,33,0,0,296,0
1,34,0,0,225,0
1,35,0,0,134,0
1,36,0,0,165,0
1,37,0,0,99,0
1,38,0,0,100,0
1,39,0,0,62,0
1,40,0,0,61,0
1,41,0,0,39,0
1,42,0,0,62,0
1,43,0,0,40,0
1,44,0,0,28,0
1,45,0,0,22,0
1,46,0,0,16,0
1,47,0,0,16,0
1,48,0,0,11,0
1,49,0,0,9,0
1,50,0,0,1,0
1,51,0,0,1,0
1,52,0,0,1,0
1,53,0,0,3,0
1,54,0,0,3,0
2,-54,0,0,0,0
2,-53,0,0,0,0
2,-52,0,0,1,0
2,-51,0,0,2,0
2,-50,0,0,5,0
2,-49,0,0,1,0
2,-48,0,0,4,0
2,-47,0,0,10,0
2,-46,0,0,8,0
2,-45,0,0,14,0
2,-44,0,0,19,0
2,-43,0,0,48,0
2,-42,0,0,62,0
2,-41,0,0,60,0
2,-40,0,0,92,0
2,-39,0,0,66,0
2,-38,0,0,100,0
2,-37,0,0,113,0
2,-36,0,0,120,0
2,-35,0,0,119,0
2,-34,0,0,224,0
2,-33,0,0,275,0
2,-32,0,0,251,0
2,-31,0,0,286,0
2,-30,0,0,408,0
2,-29,0,0,411,0
2,-28,0,0,385,0
2,-27,0,0,571,0
2,-26,0,0,506,0
2,-25,0,0,532,3
2,-24,0,0,660,7
2,-23,0,0,813,18
2,-22,0,0,816,34
2,-21,0,0,1106,54
2,-20,0,0,1141,101
2,-19,0,0,1094,179
2,-18,0,0,1271,271
2,-17,0,0,1424,444
2,-16,0,0,1299,591
2,-15,0,0,1421,810
2,-14,0,0,1755,1102
2,-13,0,0,1630,1402
2,-12,0,0,1637,1647
2,-11,0,0,1958,1868
2,-10,0,0,1755,2057
2,-9,0,0,1761,2289
2,-8,0,0,2271,2576
2,-7,0,0,2218,2955
2,-6,0,0,1991,3160
2,-5,0,0,2915,3510
2,-4,0,0,3406,4147
2,-3,0,0,1968,5093
2,-2,0,0,4623,7202
2,-1,0,0,12614,12647
2,0,24,24,1594,9740
2,1,39,39,12575,12608
2,2,27,35,4596,7167
2,3,24,23,1944,5070
2,4,7,5,3399,4142
2,5,7,14,2908,3496
2,6,8,8,1983,3152
2,7,6,8,2212,2947
2,8,3,4,2268,2572
2,9,5,6,1756,2283
2,10,4,6,1751,2051
2,11,5,3,1953,1865
2,12,4,8,1633,1639
2,13,7,12,1623,1390
2,14,5,2,1750,1100
2,15,6,2,1415,808
2,16,5,5,1294,586
2,17,6,4,1418,440
2,18,4,1,1267,270
2,19,3,0,1091,179
2,20,4,0,1137,101
2,21,4,1,1102,53
2,22,2,0,814,34
2,23,0,0,813,18
2,24,1,0,659,7
2,25,0,0,532,3
2,26,0,0,506,0
2,27,0,0,571,0
2,28,0,0,385,0
2,29,0,0,411,0
2,30,0,0,408,0
2,31,0,0,286,0
2,32,0,0,251,0
2,33,0,0,275,0
2,34,0,0,224,0
2,35,0,0,119,0
2,36,0,0,120,0
2,37,0,0,113,0
2,38,0,0,100,0
2,39,0,0,66,0
2,40,0,0,92,0
2,41,0,0,60,0
2,42,0,0,62,0
2,43,0,0,48,0
2,44,0,0,19,0
2,45,0,0,14,0
2,46,0,0,8,0
2,47,0,0,10,0
2,48,0,0,4,0
2,49,0,0,1,0
2,50,0,0,5,0
2,51,0,0,2,0
2,52,0,0,1,0
2,53,0,0,0,0
2,54,0,0,0,0
3,-54,0,0,0,0
3,-53,0,0,0,0
3,-52,0,0,0,0
3,-51,0,0,1,0
3,-50,0,0,4,0
3,-49,0,0,1,0
3,-48,0,0,1,0
3,-47,0,0,3,0
3,-46,0,0,3,0
3,-45,0,0,8,0
3,-44,0,0,10,0
3,-43,0,0,18,0
3,-42,0,0,15,0
3,-41,0,0,32,0
3,-40,0,0,40,0
3,-39,0,0,35,0
3,-38,0,0,64,0
3,-37,0,0,80,0
3,-36,0,0,110,0
3,-35,0,0,110,0
3,-34,0,0,131,0
3,-33,0,0,167,0
3,-32,0,0,128,0
3,-31,0,0,242,0
3,-30,0,0,231,0
3,-29,0,0,237,0
3,-28,0,0,363,0
3,-27,0,0,446,0
3,-26,0,0,458,2
3,-25,0,0,524,1
3,-24,0,0,688,5
3,-23,0,0,831,12
3,-22,0,0,864,20
3,-21,0,0,1035,45
3,-20,0,0,1153,41
3,-19,0,0,1158,97
3,-18,0,0,1114,175
3,-17,0,0,1349,285
3,-16,0,0,1414,449
3,-15,0,0,1297,628
3,-14,0,0,1599,868
3,-13,0,0,1699,1120
3,-12,0,0,1754,1414
3,-11,0,0,2044,1769
3,-10,0,0,2191,2139
3,-9,0,0,1816,2442
3,-8,0,0,2461,2715
3,-7,0,0,2696,2969
3,-6,0,0,1941,3290
3,-5,0,0,3090,3826
3,-4,0,0,3819,4409
3,-3,0,0,1928,5432
3,-2,0,0,4485,7440
3,-1,0,0,12307,12698
3,0,24,24,1684,9492
3,1,39,39,12268,12659
3,2,28,36,4457,7404
3,3,22,21,1906,5411
3,4,13,8,3806,4401
3,5,11,14,3079,3812
3,6,4,11,1937,3279
3,7,7,10,2689,2959
3,8,4,6,2457,2709
3,9,4,4,1812,2438
3,10,10,9,2181,2130
3,11,5,4,2039,1765
3,12,2,6,1752,1408
3,13,6,6,1693,1114
3,14,4,3,1595,865
3,15,4,1,1293,627
3,16,4,5,1410,444
3,17,5,1,1344,284
3,18,3,2,1111,173
3,19,3,0,1155,97
3,20,4,0,1149,41
3,21,1,0,1034,45
3,22,1,0,863,20
3,23,1,0,830,12
3,24,1,0,687,5
3,25,0,0,524,1
3,26,0,0,458,2
3,27,0,0,446,0
3,28,0,0,363,0
3,29,0,0,237,0
3,30,0,0,231,0
3,31,0,0,242,0
3,32,0,0,128,0
3,33,0,0,167,0
3,34,0,0,131,0
3,35,0,0,110,0
3,36,0,0,110,0
3,37,0,0,80,0
3,38,0,0,64,0
3,39,0,0,35,0
3,40,0,0,40,0
3,41,0,0,32,0
3,42,0,0,15,0
3,43,0,0,18,0
3,44,0,0,10,0
3,45,0,0,8,0
3,46,0,0,3,0
3,47,0,0,3,0
3,48,0,0,1,0
3,49,0,0,1,0
3,50,0,0,4,0
3,51,0,0,1,0
3,52,0,0,0,0
3,53,0,0,0,0
3,54,0,0,0,0
4,-54,0,0,0,0
4,-53,0,0,0,0
4,-52,0,0,0,0
4,-51,0,0,0,0
4,-50,0,0,1,0
4,-49,0,0,3,0
4,-48,0,0,2,0
4,-47,0,0,5,0
4,-46,0,0,4,0
4,-45,0,0,3,0
4,-44,0,0,12,0
4,-43,0,0,12,0
