Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-6,0,0,1,1
0,-5,0,0,0,0
0,-4,0,0,1,1
0,-3,0,0,14,0
0,-2,0,0,0,14
0,-1,0,0,496,482
0,0,0,0,0,28
0,1,1,1,495,481
0,2,0,0,0,14
0,3,0,0,14,0
0,4,1,1,0,0
0,5,0,0,0,0
0,6,1,1,0,0
1,-6,0,0,1,1
1,-5,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,47,25
1,-2,0,0,0,25
1,-1,0,0,463,459
1,0,0,0,0,1
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,1,1,0,0
1,5,0,0,0,0
1,6,0,0,0,0
2,-6,0,0,1,1
2,-5,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,47,25
2,-2,0,0,0,25
2,-1,0,0,463,459
2,0,0,0,0,1
2,1,0,0,0,0
2,2,0,0,0,0
2,3,0,0,0,0
2,4,1,1,0,0
2,5,0,0,0,0
2,6,0,0,0,0
3,-6,0,0,1,1
3,-5,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,47,25
3,-2,0,0,0,25
3,-1,0,0,463,459
3,0,0,0,0,1
3,1,0,0,0,0
3,2,0,0,0,0
3,3,0,0,0,0
3,4,1,1,0,0
3,5,0,0,0,0
3,6,0,0,0,0
4,-6,0,0,1,1
4,-5,0,0,0,0
4,-4,0,0,0,0
4,-3,0,0,47,25
4,-2,0,0,0,25
4,-1,0,0,463,459
4,0,0,0,0,1
4,1,0,0,0,0
4,2,0,0,0,0
4,3,0,0,0,0
4,4,1,1,0,0
4,5,0,0,0,0
4,6,0,0,0,0
5,-6,0,0,1,1
5,-5,0,0,0,0
5,-4,0,0,1,1
5,-3,0,0,14,0
5,-2,0,0,0,14
5,-1,0,0,496,482
5,0,0,0,0,28
5,1,1,1,495,481
5,2,0,0,0,14
5,3,0,0,14,0
5,4,1,1,0,0
5,5,0,0,0,0
5,6,1,1,0,0
6,-6,0,0,1,1
6,-5,0,0,0,0
6,-4,0,0,0,0
6,-3,0,0,47,25
6,-2,0,0,0,25
6,-1,0,0,463,459
6,0,0,0,0,1
6,1,0,0,0,0
6,2,0,0,0,0
6,3,0,0,0,0
6,4,1,1,0,0
6,5,0,0,0,0
6,6,0,0,0,0
7,-6,0,0,1,1
7,-5,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,47,25
7,-2,0,0,0,25
7,-1,0,0,463,459
7,0,0,0,0,1
7,1,0,0,0,0
7,2,0,0,0,0
7,3,0,0,0,0
7,4,1,1,0,0
7,5,0,0,0,0
7,6,0,0,0,0
8,-6,0,0,1,1
8,-5,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,47,25
8,-2,0,0,0,25
8,-1,0,0,463,459
8,0,0,0,0,1
8,1,0,0,0,0
8,2,0,0,0,0
8,3,0,0,0,0
8,4,1,1,0,0
8,5,0,0,0,0
8,6,0,0,0,0
9,-6,0,0,1,1
9,-5,0,0,0,0
9,-4,0,0,0,0
9,-3,0,0,47,25
9,-2,0,0,0,25
9,-1,0,0,463,459
9,0,0,0,0,1
9,1,0,0,0,0
9,2,0,0,0,0
9,3,0,0,0,0
9,4,1,1,0,0
9,5,0,0,0,0
9,6,0,0,0,0
