Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-13,0,0,0,0
0,-12,0,0,0,0
0,-11,0,0,1,1
0,-10,0,0,0,0
0,-9,0,0,0,0
0,-8,0,0,0,0
0,-7,0,0,0,0
0,-6,0,0,0,0
0,-5,0,0,2,1
0,-4,0,0,0,1
0,-3,0,0,9,2
0,-2,0,0,0,13
0,-1,0,0,244,238
0,0,0,0,0,0
0,1,1,1,243,237
0,2,0,0,0,13
0,3,1,1,8,1
0,4,0,1,0,0
0,5,2,1,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,1,1,0,0
0,12,0,0,0,0
0,13,0,0,0,0
1,-13,0,0,0,0
1,-12,0,0,0,0
1,-11,0,0,0,0
1,-10,0,0,0,0
1,-9,0,0,0,0
1,-8,0,0,0,0
1,-7,0,0,0,0
1,-6,0,0,0,0
1,-5,0,0,1,1
1,-4,0,0,0,0
1,-3,0,0,23,17
1,-2,0,0,0,12
1,-1,0,0,230,224
1,0,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,1,1,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,1,0,0
1,10,0,0,0,0
1,11,1,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
2,-13,0,0,0,0
2,-12,0,0,0,0
2,-11,0,0,0,0
2,-10,0,0,0,0
2,-9,0,0,0,0
2,-8,0,0,0,0
2,-7,0,0,0,0
2,-6,0,0,0,0
2,-5,0,0,1,1
2,-4,0,0,0,0
2,-3,0,0,23,17
2,-2,0,0,0,12
2,-1,0,0,230,224
2,0,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
2,3,0,0,0,0
2,4,0,0,0,0
2,5,1,1,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
2,9,0,1,0,0
2,10,0,0,0,0
2,11,1,0,0,0
2,12,0,0,0,0
2,13,0,0,0,0
3,-13,0,0,0,0
3,-12,0,0,0,0
3,-11,0,0,0,0
3,-10,0,0,0,0
3,-9,0,0,0,0
