Rank,Count (Max),Count (Avg)
0,16,16
1,258,258
2,1953,1953
3,9216,9216
4,30360,30360
5,74093,74093
6,138769,138784
7,204122,204107
8,240484,240544
9,234123,234108
10,204008,204098
11,189319,189669
12,218514,220439
13,289942,297032
14,377965,397038
15,451312,484524
16,486424,507729
17,475630,498786
18,434550,417232
19,397310,402077
20,389912,361013
21,404801,407036
22,410580,394807
23,388246,392688
24,348425,377069
25,312199,380367
26,287984,381855
27,272643,371701
28,263311,347852
29,259116,316232
30,257937,278546
31,256714,230605
32,249567,175739
33,225776,113724
34,178625,60816
35,117020,24233
36,60875,7082
37,24244,1426
38,7085,176
39,1426,10
40,176,0
41,10,0
