Rank,Count (Max),Count (Avg)
0,15,15
1,209,209
2,1358,1358
3,5463,5463
4,15249,15255
5,31460,31472
6,50281,50375
7,65681,65663
8,76118,76464
9,86994,88000
10,103815,104701
11,124370,126765
12,141047,144348
13,150766,157660
14,159562,174130
15,175859,198994
16,200678,221298
17,226352,254394
18,244372,272189
19,252530,287756
20,254475,278606
21,254012,268030
22,250127,236084
23,238066,202599
24,217042,180787
25,195343,176737
26,183954,186762
27,185309,197114
28,190629,199837
29,188165,189950
30,173285,169314
31,149970,139862
32,122945,104359
33,92610,64633
34,59977,30565
35,31080,10638
36,12088,2457
37,3305,337
38,581,20
39,56,0
40,2,0
