Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-15,3456,546,0,0,3456,546
-14,0,1503,0,0,0,1503
-13,2880,2887,0,0,2880,2887
-12,0,15393,0,0,0,15393
-11,202144,135604,0,0,202144,135604
-10,0,81085,0,0,0,81085
-9,324384,237463,0,0,324384,237463
-8,0,104371,0,0,0,104371
-7,522368,414090,0,0,533888,422873
-6,0,112481,0,0,0,116145
-5,1026944,827773,0,0,1042304,841550
-4,0,175030,0,0,0,178553
-3,1014752,785803,0,0,1038944,813904
-2,0,640628,0,0,0,729188
-1,13120160,12308763,0,0,17946400,16611404
0,0,372480,0,0,0,1177562
1,0,1179,144,144,11368080,10624740
2,0,9,0,0,0,523353
3,0,0,0,0,866976,681162
4,0,0,0,0,0,152855
5,0,0,0,0,944544,770072
6,0,0,0,0,0,96598
7,0,0,0,0,639904,538901
8,0,0,0,0,0,134224
9,0,0,0,0,655904,511931
10,0,0,0,15,0,237361
11,0,0,36,21,891836,639233
12,0,0,0,12,0,176179
13,0,0,24,12,467080,328189
14,0,0,0,0,0,52083
15,0,0,0,0,10080,6074
16,0,0,0,0,0,2352
17,0,0,0,0,6912,378
