Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-21,0,0,0,0
0,-20,0,0,0,0
0,-19,0,0,2816,2816
0,-18,0,0,0,9
0,-17,0,0,29952,29943
0,-16,0,0,0,36
0,-15,0,0,138240,138204
0,-14,0,0,0,0
0,-13,0,0,365568,365568
0,-12,0,0,0,0
0,-11,0,0,612864,612864
0,-10,0,0,0,0
0,-9,0,0,677376,677376
0,-8,0,0,0,0
0,-7,0,0,494592,479640
0,-6,0,0,0,14952
0,-5,0,0,230400,207612
0,-4,0,0,0,22788
0,-3,0,0,62208,49563
0,-2,0,0,0,12726
0,-1,0,0,3546368,3528647
0,0,0,0,0,17640
0,1,9,9,2366199,2366118
0,2,0,0,0,11889
0,3,0,0,57600,45792
0,4,0,0,0,20412
0,5,0,0,211968,191556
0,6,0,0,0,14112
0,7,0,0,451584,437472
0,8,0,0,0,0
0,9,0,0,612864,612864
0,10,0,0,0,0
0,11,0,0,548352,548352
0,12,0,0,0,0
0,13,0,0,322560,322560
0,14,0,0,0,0
0,15,0,0,119808,119808
0,16,0,0,0,0
0,17,0,0,25344,25344
0,18,0,0,0,0
0,19,0,0,2304,2304
0,20,0,0,0,324
0,21,0,0,589824,589500
0,22,0,9,0,7776
0,23,9,0,589815,582039
1,-21,0,0,65536,61832
1,-20,0,0,0,3704
1,-19,0,0,256,256
1,-18,0,0,0,0
1,-17,0,0,2048,2048
1,-16,0,0,0,0
1,-15,0,0,7168,7168
1,-14,0,0,0,0
1,-13,0,0,14336,14336
1,-12,0,0,0,0
1,-11,0,0,17920,17920
1,-10,0,0,0,0
1,-9,0,0,14336,14336
1,-8,0,0,0,0
1,-7,0,0,7168,7168
1,-6,0,0,0,0
1,-5,0,0,2048,2048
1,-4,0,0,0,0
1,-3,0,0,256,256
1,-2,0,0,0,43024
1,-1,0,0,4653056,4597749
1,0,0,0,0,20361
1,1,9,9,2818039,2787629
1,2,0,0,0,22332
1,3,0,0,256,256
1,4,0,0,0,0
1,5,0,0,2304,2304
1,6,0,0,0,0
1,7,0,0,9216,9216
1,8,0,0,0,0
1,9,0,0,21504,21504
1,10,0,0,0,0
1,11,0,0,32256,32256
1,12,0,0,0,0
1,13,0,0,32256,32256
1,14,0,0,0,0
1,15,0,0,21504,21504
1,16,0,0,0,0
1,17,0,0,9216,9216
1,18,0,0,0,0
1,19,0,0,2304,2304
1,20,0,0,0,3704
1,21,0,0,65792,62088
1,22,0,0,0,1408
1,23,1,1,65535,64127
2,-21,0,0,65536,61832
2,-20,0,0,0,3704
2,-19,0,0,256,256
2,-18,0,0,0,0
2,-17,0,0,2048,2048
2,-16,0,0,0,0
2,-15,0,0,7168,7168
2,-14,0,0,0,0
2,-13,0,0,14336,14336
2,-12,0,0,0,0
2,-11,0,0,17920,17920
2,-10,0,0,0,0
2,-9,0,0,14336,14336
2,-8,0,0,0,0
2,-7,0,0,7168,7168
2,-6,0,0,0,0
2,-5,0,0,2048,2048
2,-4,0,0,0,0
2,-3,0,0,256,256
2,-2,0,0,0,43024
2,-1,0,0,4653056,4597749
2,0,0,0,0,20361
2,1,9,9,2818039,2787629
2,2,0,0,0,22332
2,3,0,0,256,256
2,4,0,0,0,0
2,5,0,0,2304,2304
2,6,0,0,0,0
2,7,0,0,9216,9216
2,8,0,0,0,0
2,9,0,0,21504,21504
2,10,0,0,0,0
2,11,0,0,32256,32256
2,12,0,0,0,0
2,13,0,0,32256,32256
2,14,0,0,0,0
2,15,0,0,21504,21504
2,16,0,0,0,0
2,17,0,0,9216,9216
2,18,0,0,0,0
2,19,0,0,2304,2304
2,20,0,0,0,3704
2,21,0,0,65792,62088
2,22,0,0,0,1408
2,23,1,1,65535,64127
3,-21,0,0,65536,61832
3,-20,0,0,0,3704
3,-19,0,0,256,256
3,-18,0,0,0,0
3,-17,0,0,2048,2048
3,-16,0,0,0,0
3,-15,0,0,7168,7168
3,-14,0,0,0,0
3,-13,0,0,14336,14336
3,-12,0,0,0,0
3,-11,0,0,17920,17920
3,-10,0,0,0,0
3,-9,0,0,14336,14336
3,-8,0,0,0,0
3,-7,0,0,7168,7168
3,-6,0,0,0,0
3,-5,0,0,2048,2048
3,-4,0,0,0,0
3,-3,0,0,256,256
3,-2,0,0,0,43024
3,-1,0,0,4653056,4597749
3,0,0,0,0,20361
3,1,9,9,2818039,2787629
3,2,0,0,0,22332
3,3,0,0,256,256
3,4,0,0,0,0
3,5,0,0,2304,2304
3,6,0,0,0,0
3,7,0,0,9216,9216
3,8,0,0,0,0
3,9,0,0,21504,21504
3,10,0,0,0,0
3,11,0,0,32256,32256
3,12,0,0,0,0
3,13,0,0,32256,32256
3,14,0,0,0,0
3,15,0,0,21504,21504
3,16,0,0,0,0
3,17,0,0,9216,9216
3,18,0,0,0,0
3,19,0,0,2304,2304
3,20,0,0,0,3704
3,21,0,0,65792,62088
3,22,0,0,0,1408
3,23,1,1,65535,64127
4,-21,0,0,65536,61832
4,-20,0,0,0,3704
4,-19,0,0,256,256
4,-18,0,0,0,0
4,-17,0,0,2048,2048
4,-16,0,0,0,0
4,-15,0,0,7168,7168
4,-14,0,0,0,0
4,-13,0,0,14336,14336
4,-12,0,0,0,0
4,-11,0,0,17920,17920
4,-10,0,0,0,0
4,-9,0,0,14336,14336
4,-8,0,0,0,0
4,-7,0,0,7168,7168
4,-6,0,0,0,0
4,-5,0,0,2048,2048
4,-4,0,0,0,0
4,-3,0,0,256,256
4,-2,0,0,0,43024
4,-1,0,0,4653056,4597749
4,0,0,0,0,20361
4,1,9,9,2818039,2787629
4,2,0,0,0,22332
4,3,0,0,256,256
4,4,0,0,0,0
4,5,0,0,2304,2304
4,6,0,0,0,0
4,7,0,0,9216,9216
4,8,0,0,0,0
4,9,0,0,21504,21504
4,10,0,0,0,0
4,11,0,0,32256,32256
4,12,0,0,0,0
4,13,0,0,32256,32256
4,14,0,0,0,0
4,15,0,0,21504,21504
4,16,0,0,0,0
4,17,0,0,9216,9216
4,18,0,0,0,0
4,19,0,0,2304,2304
4,20,0,0,0,3704
4,21,0,0,65792,62088
4,22,0,0,0,1408
4,23,1,1,65535,64127
5,-21,0,0,65536,61832
5,-20,0,0,0,3704
5,-19,0,0,256,256
5,-18,0,0,0,0
5,-17,0,0,2048,2048
5,-16,0,0,0,0
5,-15,0,0,7168,7168
5,-14,0,0,0,0
5,-13,0,0,14336,14336
5,-12,0,0,0,0
5,-11,0,0,17920,17920
5,-10,0,0,0,0
5,-9,0,0,14336,14336
5,-8,0,0,0,0
5,-7,0,0,7168,7168
5,-6,0,0,0,0
5,-5,0,0,2048,2048
5,-4,0,0,0,0
