Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-17,0,0,0,0
0,-16,0,0,0,0
0,-15,0,0,288,249
0,-14,0,0,0,3489
0,-13,0,0,25376,21068
0,-12,0,0,0,9476
0,-11,0,0,77856,63298
0,-10,0,0,0,13688
0,-9,0,0,138784,87654
0,-8,0,0,0,43030
0,-7,0,0,304352,126377
0,-6,0,0,0,136520
0,-5,0,0,688032,336089
0,-4,0,0,0,278569
0,-3,0,0,847456,556624
0,-2,0,0,0,433326
0,-1,0,0,3529376,3277183
0,0,0,0,0,282874
0,1,15,15,2272401,2199761
0,2,0,0,0,337041
0,3,0,0,664672,430401
0,4,0,0,0,197463
0,5,0,0,520608,262796
0,6,0,0,0,98990
0,7,0,0,288480,157963
0,8,0,6,0,57371
0,9,6,0,230426,213792
0,10,0,3,0,155770
0,11,3,0,280605,154101
0,12,0,0,0,109607
0,13,0,0,206624,60162
0,14,0,0,0,65515
0,15,0,6,108832,70117
0,16,0,0,0,65424
0,17,6,0,137722,15829
0,18,0,0,0,273
0,19,0,0,0,0
1,-17,0,0,0,0
1,-16,0,0,0,0
1,-15,0,0,1152,182
1,-14,0,0,0,501
1,-13,0,0,672,720
1,-12,0,0,0,216
1,-11,0,0,90144,11251
1,-10,0,0,0,47612
1,-9,0,0,28608,42225
1,-8,0,0,0,19701
1,-7,0,0,66368,46294
1,-6,0,0,0,16932
1,-5,0,0,40864,39366
1,-4,0,0,0,3122
1,-3,0,0,17952,17027
1,-2,0,0,0,175948
1,-1,0,0,4066816,3548027
1,0,0,0,0,512758
1,1,15,15,2568689,2229015
1,2,0,0,0,170980
1,3,0,0,17952,17098
1,4,0,0,0,3717
1,5,0,0,58816,55927
1,6,0,0,0,19581
1,7,0,0,107232,85277
1,8,0,0,0,35553
1,9,3,3,94973,89432
1,10,0,0,0,68271
1,11,1,1,118751,54051
1,12,0,0,0,47422
1,13,0,0,90816,12219
1,14,0,0,0,768
1,15,0,0,1824,910
1,16,0,0,0,552
1,17,0,0,1152,126
1,18,0,0,0,0
1,19,0,0,0,0
2,-17,0,0,0,0
2,-16,0,0,0,0
2,-15,0,0,1152,182
2,-14,0,0,0,501
2,-13,0,0,672,720
2,-12,0,0,0,216
2,-11,0,0,90144,11251
2,-10,0,0,0,47612
2,-9,0,0,28608,42225
2,-8,0,0,0,19701
2,-7,0,0,66368,46294
2,-6,0,0,0,16932
2,-5,0,0,40864,39366
2,-4,0,0,0,3122
2,-3,0,0,17952,17027
2,-2,0,0,0,175948
2,-1,0,0,4066816,3548027
2,0,0,0,0,512758
2,1,15,15,2568689,2229015
2,2,0,0,0,170980
2,3,0,0,17952,17098
2,4,0,0,0,3717
2,5,0,0,58816,55927
2,6,0,0,0,19581
2,7,0,0,107232,85277
2,8,0,0,0,35553
2,9,3,3,94973,89432
2,10,0,0,0,68271
2,11,1,1,118751,54051
2,12,0,0,0,47422
2,13,0,0,90816,12219
2,14,0,0,0,768
2,15,0,0,1824,910
2,16,0,0,0,552
2,17,0,0,1152,126
2,18,0,0,0,0
2,19,0,0,0,0
3,-17,0,0,0,0
3,-16,0,0,0,402
3,-15,0,0,55552,9011
3,-14,0,0,0,22659
3,-13,0,0,10048,23087
3,-12,0,0,0,10229
3,-11,0,0,24128,15460
3,-10,0,0,0,9799
3,-9,0,0,53120,38579
3,-8,0,0,0,14585
