config,rank,succ
"[(None, False), (None, False), (None, False), (None, False), (None, False)]",11,"[[(3, False), (None, False), (None, False), (None, False), (None, False)], [(None, False), (4, False), (None, False), (None, False), (None, False)], [(None, False), (None, False), (4, False), (None, False), (None, False)], [(None, False), (None, False), (None, False), (4, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (None, True)]",13,"[[(3, False), (None, False), (None, False), (None, False), (None, True)], [(None, False), (3, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (3, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (1, False)]",12,"[[(3, False), (None, False), (None, False), (None, False), (1, False)], [(None, False), (4, False), (None, False), (None, False), (1, False)], [(None, False), (None, False), (3, False), (None, False), (1, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (1, True)]",13,"[[(3, False), (None, False), (None, False), (None, False), (1, True)], [(None, False), (4, False), (None, False), (None, False), (1, True)], [(None, False), (None, False), (3, False), (None, False), (1, True)], [(None, False), (None, False), (None, False), (None, False), (1, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (2, False)]",12,"[[(3, False), (None, False), (None, False), (None, False), (2, False)], [(None, False), (3, False), (None, False), (None, False), (2, False)], [(None, False), (None, False), (4, False), (None, False), (2, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (2, True)]",13,"[[(3, False), (None, False), (None, False), (None, False), (2, True)], [(None, False), (3, False), (None, False), (None, False), (2, True)], [(None, False), (None, False), (4, False), (None, False), (2, True)], [(None, False), (None, False), (None, False), (None, False), (2, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (3, False)]",13,"[[(3, False), (None, False), (None, False), (None, False), (3, False)], [(None, False), (3, False), (None, False), (None, False), (3, False)], [(None, False), (None, False), (3, False), (None, False), (3, False)], [(None, False), (None, False), (None, False), (4, False), (3, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (3, True)]",15,"[[(3, False), (None, False), (None, False), (None, False), (3, True)], [(None, False), (3, False), (None, False), (None, False), (3, True)], [(None, False), (None, False), (3, False), (None, False), (3, True)], [(None, False), (None, False), (None, False), (4, False), (3, True)], [(None, False), (None, False), (None, False), (None, False), (3, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (None, False)]",12,"[[(None, False), (4, False), (None, False), (None, True), (None, False)], [(None, False), (None, False), (4, False), (None, True), (None, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (None, True)]",14,"[[(None, False), (None, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (1, False)]",13,"[[(None, False), (4, False), (None, False), (None, True), (1, False)], [(None, False), (None, False), (None, False), (None, False), (1, False)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (1, True)]",14,"[[(None, False), (4, False), (None, False), (None, True), (1, True)], [(None, False), (None, False), (None, False), (None, False), (1, True)], [(None, False), (None, False), (None, False), (None, True), (1, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (2, False)]",13,"[[(None, False), (None, False), (4, False), (None, True), (2, False)], [(None, False), (None, False), (None, False), (None, False), (2, False)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (2, True)]",14,"[[(None, False), (None, False), (4, False), (None, True), (2, True)], [(None, False), (None, False), (None, False), (None, False), (2, True)], [(None, False), (None, False), (None, False), (None, True), (2, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (3, False)]",14,"[[(None, False), (None, False), (None, False), (None, False), (3, False)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
