nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.4444444444444444,0.21358811759112087,0.5833333333333333,0.5,0.37175852685879784,0.37161046973872297,5.833333333333332,3.824989879066661,0.5954745752470336
1,1,0.1111111111111111,0.06038794432775485,0.0,0.34615384615384615,0.15684558490074815,0.2891102105959084,3.8333333333333335,1.6922934744291511,0.0326495387471891
2,1,0.1111111111111111,0.06038794432775485,0.0,0.34615384615384615,0.15684558490074815,0.2891102105959084,3.8333333333333335,1.692293474429151,0.03264953874718915
3,1,0.1111111111111111,0.06038794432775485,0.0,0.34615384615384615,0.15684558490074815,0.2891102105959084,3.8333333333333335,1.692293474429151,0.03264953874718913
4,2,0.2222222222222222,0.10494291038844163,0.5555555555555556,0.5625,0.4106143144051157,0.3292828027930135,5.5,2.5520348929084777,0.600268442201846
5,5,0.5555555555555556,0.262085274794426,0.7222222222222222,0.5625,0.6014944702221098,0.40172608515852976,6.5,4.7963632602461095,0.7329150610152223
6,1,0.1111111111111111,0.059554966060686776,0.0,0.375,0.2537687295043676,0.29212176633046066,4.083333333333333,1.7481094557792098,0.042923373836656814
7,1,0.1111111111111111,0.059554966060686776,0.0,0.375,0.2537687295043676,0.29212176633046066,4.083333333333333,1.7481094557792098,0.04292337383665685
8,1,0.1111111111111111,0.059554966060686776,0.0,0.375,0.2537687295043676,0.29212176633046066,4.083333333333333,1.7481094557792098,0.04292337383665685
9,1,0.1111111111111111,0.059554966060686776,0.0,0.375,0.2537687295043676,0.29212176633046066,4.083333333333333,1.7481094557792098,0.04292337383665685
