Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-8,54,54,0,0,432,432
-7,904,904,0,0,6262,6262
-6,6288,6295,0,0,42214,42213
-5,24692,24757,0,0,167888,167796
-4,60110,60103,0,0,426079,425064
-3,95417,95199,0,0,709844,708411
-2,97592,99340,0,0,780303,784405
-1,1160915,1158575,0,0,3168330,3169247
0,0,745,7444416,7444416,4260280,4255324
1,0,0,926170,926170,2242160,2243077
2,0,0,451230,452893,329073,331512
3,0,0,458681,458061,251163,250350
4,0,0,293343,292464,132736,132600
5,0,0,122304,122154,45584,45642
6,0,0,32928,32914,9286,9299
7,0,0,5376,5376,886,886
8,0,0,432,432,0,0
