Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-6,0,0,0,0
A,-5,0,0,0,0
A,-4,0,0,192,96
A,-3,0,0,1536,1440
A,-2,0,0,2880,2664
A,-1,0,0,3264,3828
A,0,3888,3888,1872,1560
A,1,1932,1932,1332,1896
A,2,1944,1944,936,720
A,3,978,978,558,462
A,4,6,6,186,90
A,5,0,0,0,0
A,6,0,0,0,0
B,-6,0,0,0,0
B,-5,0,0,0,0
B,-4,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,64,52
B,-1,0,0,1728,1740
B,0,2592,2592,992,992
B,1,322,322,1406,1418
B,2,2,2,62,50
B,3,0,0,0,0
B,4,0,0,0,0
B,5,0,0,0,0
B,6,0,0,0,0
C,-6,0,0,0,0
C,-5,0,0,0,0
C,-4,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,64,52
C,-1,0,0,1728,1740
C,0,2592,2592,992,992
C,1,322,322,1406,1418
C,2,2,2,62,50
C,3,0,0,0,0
C,4,0,0,0,0
C,5,0,0,0,0
C,6,0,0,0,0
D,-6,0,0,0,0
D,-5,0,0,0,0
D,-4,0,0,0,0
D,-3,0,0,0,0
D,-2,0,0,64,52
D,-1,0,0,1728,1740
D,0,2592,2592,992,992
D,1,322,322,1406,1418
D,2,2,2,62,50
D,3,0,0,0,0
D,4,0,0,0,0
D,5,0,0,0,0
D,6,0,0,0,0
E,-6,0,0,84,0
E,-5,0,0,636,370
E,-4,0,0,2034,1614
E,-3,0,0,3380,3850
E,-2,0,0,3060,3220
E,-1,0,0,1680,1880
E,0,11880,11880,9380,9260
E,1,900,900,780,980
E,2,1800,1800,1260,1420
E,3,1800,1800,1580,2050
E,4,900,900,1134,714
E,5,216,216,420,154
E,6,0,0,84,0
F,-6,0,0,0,0
F,-5,0,0,0,0
F,-4,0,0,0,0
F,-3,0,0,0,0
F,-2,0,0,0,0
F,-1,0,0,1024,952
F,0,2880,2880,2240,2384
F,1,36,36,988,916
F,2,0,0,0,0
F,3,0,0,0,0
F,4,0,0,0,0
F,5,0,0,0,0
F,6,0,0,0,0
G,-6,0,0,0,0
G,-5,0,0,0,0
G,-4,0,0,0,0
G,-3,0,0,0,0
G,-2,0,0,0,0
G,-1,0,0,1024,952
G,0,2880,2880,2240,2384
G,1,36,36,988,916
G,2,0,0,0,0
G,3,0,0,0,0
G,4,0,0,0,0
G,5,0,0,0,0
G,6,0,0,0,0
H,-6,0,0,0,0
H,-5,0,0,0,0
H,-4,0,0,0,0
H,-3,0,0,0,0
H,-2,0,0,0,0
H,-1,0,0,1024,952
H,0,2880,2880,2240,2384
H,1,36,36,988,916
H,2,0,0,0,0
H,3,0,0,0,0
H,4,0,0,0,0
H,5,0,0,0,0
H,6,0,0,0,0
I,-6,0,0,0,0
I,-5,0,0,0,0
I,-4,0,0,0,0
I,-3,0,0,0,0
I,-2,0,0,0,0
I,-1,0,0,1024,952
I,0,2880,2880,2240,2384
I,1,36,36,988,916
I,2,0,0,0,0
I,3,0,0,0,0
I,4,0,0,0,0
I,5,0,0,0,0
I,6,0,0,0,0
J,-6,0,0,0,0
J,-5,0,0,0,0
J,-4,0,0,0,0
J,-3,0,0,0,0
J,-2,0,0,0,0
J,-1,0,0,1024,952
J,0,2880,2880,2240,2384
J,1,36,36,988,916
J,2,0,0,0,0
J,3,0,0,0,0
J,4,0,0,0,0
J,5,0,0,0,0
J,6,0,0,0,0
