Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-4,0,0,0,0
0,-3,0,0,1520,1520
0,-2,0,0,3920,3920
0,-1,0,0,8080,8080
0,0,2736,2736,8624,8624
0,1,2418,2418,5662,5662
0,2,1404,1404,2516,2516
0,3,666,666,854,854
0,4,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,0,0
1,-2,0,0,0,0
1,-1,0,0,1920,1920
1,0,1648,1648,4112,4112
1,1,158,158,1762,1762
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,0,0
2,-2,0,0,0,0
2,-1,0,0,1920,1920
2,0,1648,1648,4112,4112
2,1,158,158,1762,1762
2,2,0,0,0,0
2,3,0,0,0,0
2,4,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,0,0
3,-2,0,0,0,0
3,-1,0,0,5760,5760
3,0,1736,1736,5944,5944
3,1,1876,1876,3884,3884
3,2,0,0,0,0
3,3,0,0,0,0
3,4,0,0,0,0
4,-4,0,0,0,0
4,-3,0,0,0,0
4,-2,0,0,1728,1728
4,-1,0,0,7488,7488
4,0,2012,2012,8356,8356
4,1,2826,2826,4662,4662
4,2,580,580,1148,1148
4,3,0,0,0,0
4,4,0,0,0,0
5,-4,0,0,480,480
5,-3,0,0,2160,2160
5,-2,0,0,4320,4320
5,-1,0,0,6480,6480
5,0,3276,3276,8244,8244
5,1,1764,1764,4716,4716
5,2,1260,1260,3060,3060
5,3,756,756,1404,1404
5,4,168,168,312,312
6,-4,0,0,0,0
6,-3,0,0,0,0
6,-2,0,0,0,0
6,-1,0,0,1920,1920
6,0,1680,1680,4080,4080
6,1,126,126,1794,1794
6,2,0,0,0,0
6,3,0,0,0,0
6,4,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,0,0
7,-2,0,0,0,0
7,-1,0,0,1920,1920
7,0,1680,1680,4080,4080
7,1,126,126,1794,1794
7,2,0,0,0,0
7,3,0,0,0,0
7,4,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,0,0
8,-2,0,0,0,0
8,-1,0,0,1920,1920
8,0,1680,1680,4080,4080
8,1,126,126,1794,1794
8,2,0,0,0,0
8,3,0,0,0,0
8,4,0,0,0,0
