Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-3,0,0,0,0
0,-2,0,0,0,0
0,-1,0,0,512,512
0,0,408,408,1640,1640
0,1,36,36,476,476
0,2,0,0,0,0
0,3,0,0,0,0
1,-3,0,0,0,0
1,-2,0,0,288,288
1,-1,0,0,2568,2568
1,0,552,552,2952,2952
1,1,564,564,2004,2004
1,2,216,216,72,72
1,3,0,0,0,0
2,-3,0,0,0,0
2,-2,0,0,288,288
2,-1,0,0,2568,2568
2,0,552,552,2952,2952
2,1,564,564,2004,2004
2,2,216,216,72,72
2,3,0,0,0,0
3,-3,0,0,120,120
3,-2,0,0,1330,1330
3,-1,0,0,3696,3696
3,0,792,792,4276,4276
3,1,756,756,2940,2940
3,2,552,552,778,778
3,3,120,120,0,0
4,-3,0,0,0,0
4,-2,0,0,288,288
4,-1,0,0,2568,2568
4,0,552,552,2952,2952
4,1,564,564,2004,2004
4,2,216,216,72,72
4,3,0,0,0,0
5,-3,0,0,0,0
5,-2,0,0,288,288
5,-1,0,0,2568,2568
5,0,552,552,2952,2952
5,1,564,564,2004,2004
5,2,216,216,72,72
5,3,0,0,0,0
