Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-5,0,0,0,0
0,-4,0,0,0,0
0,-3,0,0,7,7
0,-2,0,0,3459,3459
0,-1,0,0,13443,13443
0,0,4584,4584,15358,15358
0,1,6456,6456,6987,6987
0,2,480,480,2979,2979
0,3,0,0,7,7
0,4,0,0,0,0
0,5,0,0,0,0
1,-5,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,0,0
1,-2,0,0,5,5
1,-1,0,0,4480,4480
1,0,2120,2120,6830,6830
1,1,1720,1720,2760,2760
1,2,0,0,5,5
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
2,-5,0,0,0,0
2,-4,0,0,1,1
2,-3,0,0,2116,2116
2,-2,0,0,6500,6500
2,-1,0,0,15810,15810
2,0,5776,5776,17050,17050
2,1,6516,6516,9294,9294
2,2,2488,2488,4012,4012
2,3,580,580,1536,1536
2,4,0,0,1,1
2,5,0,0,0,0
3,-5,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,0,0
3,-2,0,0,7,7
3,-1,0,0,3574,3574
3,0,3160,3160,7598,7598
3,1,680,680,2894,2894
3,2,0,0,7,7
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
4,-5,0,0,0,0
4,-4,0,0,0,0
4,-3,0,0,0,0
4,-2,0,0,6,6
4,-1,0,0,3572,3572
4,0,3160,3160,7604,7604
4,1,680,680,2892,2892
4,2,0,0,6,6
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
5,-5,0,0,658,658
5,-4,0,0,3173,3173
5,-3,0,0,7270,7270
5,-2,0,0,8480,8480
5,-1,0,0,15656,15656
5,0,10496,10496,26550,26550
5,1,6715,6715,8941,8941
5,2,2505,2505,5975,5975
5,3,2168,2168,5102,5102
5,4,976,976,2197,2197
5,5,180,180,478,478
6,-5,0,0,0,0
6,-4,0,0,0,0
6,-3,0,0,0,0
6,-2,0,0,11,11
6,-1,0,0,2552,2552
6,0,3744,3744,9050,9050
6,1,96,96,2456,2456
6,2,0,0,11,11
6,3,0,0,0,0
6,4,0,0,0,0
6,5,0,0,0,0
7,-5,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,0,0
7,-2,0,0,7,7
7,-1,0,0,2552,2552
7,0,3744,3744,9058,9058
7,1,96,96,2456,2456
7,2,0,0,7,7
7,3,0,0,0,0
7,4,0,0,0,0
7,5,0,0,0,0
8,-5,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,0,0
8,-2,0,0,11,11
8,-1,0,0,2550,2550
8,0,3744,3744,9054,9054
8,1,96,96,2454,2454
8,2,0,0,11,11
8,3,0,0,0,0
8,4,0,0,0,0
8,5,0,0,0,0
9,-5,0,0,0,0
9,-4,0,0,0,0
9,-3,0,0,0,0
9,-2,0,0,12,12
9,-1,0,0,2552,2552
9,0,3744,3744,9048,9048
9,1,96,96,2456,2456
9,2,0,0,12,12
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
