Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-3,0,0,0,0
A,-2,0,0,0,0
A,-1,0,0,72,72
A,0,78,78,138,138
A,1,12,12,60,60
A,2,0,0,0,0
A,3,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,0,0
B,-1,0,0,216,216
B,0,100,100,188,188
B,1,80,80,136,136
B,2,0,0,0,0
B,3,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,0,0
C,-1,0,0,216,216
C,0,100,100,188,188
C,1,80,80,136,136
C,2,0,0,0,0
C,3,0,0,0,0
D,-3,0,0,18,18
D,-2,0,0,142,142
D,-1,0,0,338,338
D,0,116,116,328,328
D,1,146,146,192,192
D,2,80,80,62,62
D,3,18,18,0,0
E,-3,0,0,0,0
E,-2,0,0,54,54
E,-1,0,0,288,288
E,0,88,88,308,308
E,1,136,136,152,152
E,2,46,46,8,8
E,3,0,0,0,0
