Rank,Count (Max),Count (Avg)
0,153,153
1,6,6
2,6,6
3,12,21
4,12,30
5,15,33
6,24,30
7,27,57
8,24,51
9,33,33
10,48,48
11,48,96
12,45,78
13,54,66
14,66,84
15,66,108
16,69,102
17,75,129
18,99,156
19,105,165
20,105,180
21,108,180
22,144,195
23,156,252
24,156,273
25,180,288
26,219,342
27,225,354
28,225,375
29,258,417
30,300,480
31,318,504
32,336,540
33,372,618
34,426,708
35,453,723
36,468,801
37,534,918
38,615,903
39,657,996
40,672,1023
41,753,1077
42,816,1107
43,858,1245
44,900,1221
45,945,1320
46,975,1377
47,1011,1443
48,1068,1578
49,1095,1803
50,1158,1824
51,1203,2034
52,1251,2127
53,1338,2223
54,1452,2379
55,1470,2592
56,1551,2802
57,1665,2919
58,1815,3126
59,1845,3165
60,2037,3234
61,2169,3327
62,2292,3573
63,2298,3651
64,2466,3798
65,2580,3969
66,2661,4200
67,2637,4302
68,2745,4407
69,2823,4536
70,2865,4509
71,2808,4893
72,3018,4941
73,3198,5376
74,3315,5442
75,3342,5634
76,3561,5628
77,3642,5925
78,3858,6171
79,3960,6621
80,4041,6852
81,4005,7335
82,4206,7293
83,4272,7677
84,4308,8184
85,4422,8601
86,4647,9123
87,4668,9513
88,4743,10491
89,4959,11232
90,5160,11712
91,5154,12315
92,5412,13035
93,5580,14016
94,5685,15006
95,5733,16185
96,6042,17661
97,6282,18393
98,6432,19623
99,6564,21264
100,6777,22656
101,6822,23778
102,6792,25716
103,6867,26913
104,7113,28584
105,7260,28935
106,7530,29496
107,7818,29661
108,8148,29931
109,8457,29745
110,8880,30282
111,9198,29778
112,9564,29616
113,9900,29727
114,10359,30426
115,10719,30498
116,11088,30615
117,11475,30633
118,11718,30621
119,12039,30207
120,12303,31017
121,12459,31221
122,12558,31011
123,13125,31119
124,13836,31773
125,14457,32205
126,15027,32763
127,15789,33075
128,16575,33612
129,17349,33753
130,18111,34017
131,18840,35148
132,19410,35769
133,19917,37872
134,20478,38931
135,20913,40272
136,21300,41394
137,21699,42927
138,22065,45237
139,22473,47430
140,22836,49119
141,23421,52314
142,24015,55161
143,24615,58431
144,25182,58839
145,25749,60969
146,26163,61947
147,26646,64161
148,27246,65127
149,27933,66807
150,28314,67725
151,28560,67533
152,28752,66339
153,29112,65637
154,29295,64620
155,29889,65379
156,30648,64788
157,31374,63951
158,31365,62016
159,31668,61221
160,31896,59331
161,32028,58197
162,32034,56454
163,32820,54861
164,33534,53415
165,33936,52746
166,34224,51825
167,34836,50667
168,35052,50607
169,35304,50688
170,35532,50307
171,35688,50037
172,35811,50211
173,36690,48603
174,37773,47235
175,38703,46788
176,39444,46215
177,40161,45279
178,40698,44661
179,41160,45198
180,41418,45354
181,41766,45171
182,41916,44907
183,42060,44649
184,41988,43941
185,42558,43077
186,43482,41316
187,44676,39708
188,45492,37542
189,46368,34458
190,47001,32391
191,47760,30063
192,48249,29058
193,48468,26292
194,48384,24183
195,48813,22314
196,49188,20004
197,49563,18897
198,50280,17985
199,51018,16719
200,51354,15189
201,51516,14046
202,51684,12897
203,51666,12534
204,51360,11871
205,51132,11040
206,51018,10713
207,50982,11229
208,50949,9054
209,50946,8625
210,50595,8100
211,50349,8343
212,49953,7671
213,49242,6060
214,48651,4809
215,48324,4170
216,47787,3672
217,46893,3348
218,46008,3159
219,45348,2958
220,44328,2781
221,42963,2466
222,41739,1932
223,40650,1434
224,39507,1014
225,38307,681
226,37020,504
227,35667,429
228,34278,288
229,32844,195
230,31215,126
231,29412,84
232,27654,69
233,25890,36
234,24171,54
235,22563,33
236,20964,15
237,19470,6
238,18099,0
239,16866,0
240,15462,0
241,14295,0
242,13221,0
243,12168,0
244,11187,0
245,10413,0
246,9771,0
247,9300,0
248,9078,0
249,8919,0
250,8721,0
251,8649,0
252,8709,0
253,8592,0
254,8445,0
255,8409,0
256,8370,0
257,8247,0
258,8097,0
259,7911,0
260,7509,0
261,6891,0
262,6177,0
263,5529,0
264,4890,0
265,4311,0
266,3714,0
267,3132,0
268,2544,0
269,1968,0
270,1512,0
271,1221,0
272,1014,0
273,819,0
274,642,0
275,561,0
276,546,0
277,498,0
278,456,0
279,408,0
280,354,0
281,285,0
282,243,0
283,216,0
284,174,0
285,129,0
286,99,0
287,93,0
288,75,0
289,54,0
290,36,0
291,30,0
292,24,0
293,15,0
294,15,0
295,12,0
296,9,0
