Rank,Count (Max),Count (Avg)
0,93,93
1,161,161
2,253,290
3,329,393
4,398,515
5,415,570
6,454,647
7,476,674
8,459,751
9,435,762
10,419,722
11,397,725
12,395,633
13,397,592
14,381,508
15,358,493
16,356,495
17,369,514
18,342,515
19,333,492
20,313,519
21,313,532
22,302,532
23,304,501
24,321,422
25,324,397
26,345,352
27,359,299
28,355,308
29,331,313
30,334,339
31,359,377
32,340,403
33,345,409
34,353,416
35,346,389
36,342,371
37,334,353
38,302,311
39,286,277
40,327,253
41,328,285
42,305,231
43,279,190
44,267,155
45,255,80
46,271,62
47,313,32
48,312,19
49,325,8
50,320,3
51,313,0
52,304,0
53,301,0
54,262,0
55,236,0
56,211,0
57,200,0
58,189,0
59,147,0
60,112,0
61,92,0
62,68,0
63,45,0
64,30,0
65,22,0
66,13,0
67,5,0
68,3,0
