Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-20,0,0,0,0,6,0
-19,0,0,0,0,15,0
-18,0,0,0,0,6,0
-17,0,0,0,0,3,0
-16,6,0,0,0,27,0
-15,6,0,0,0,18,3
-14,3,0,0,0,21,12
-13,30,3,0,0,48,15
-12,3,9,0,0,12,36
-11,12,3,0,0,99,9
-10,39,18,0,0,69,48
-9,6,15,0,0,42,39
-8,6,33,0,0,60,108
-7,18,24,0,0,84,93
-6,30,12,0,0,60,51
-5,6,15,0,0,36,93
-4,51,24,0,0,81,87
-3,18,33,0,0,39,81
-2,9,51,0,0,81,93
-1,252,171,0,0,276,249
0,0,78,168,168,96,228
1,0,6,21,21,255,228
2,0,0,12,12,69,81
3,0,0,18,27,21,54
4,0,0,9,30,72,57
5,0,0,9,36,27,57
6,0,0,21,21,39,30
7,0,0,33,33,51,60
8,0,0,21,27,39,81
9,0,0,27,12,15,27
10,0,0,21,9,48,39
11,0,0,27,9,72,0
12,0,0,3,27,9,9
13,0,0,3,9,45,6
14,0,0,3,6,18,6
15,0,0,18,3,0,0
16,0,0,21,0,6,0
17,0,0,0,0,3,0
18,0,0,6,0,0,0
19,0,0,6,0,9,0
20,0,0,3,0,3,0
