Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-36,0,0,0,0,2,0
-34,0,0,0,0,3,0
-32,0,0,0,0,2,0
-31,0,0,0,0,4,0
-30,1,0,0,0,3,0
-29,0,0,0,0,9,0
-28,1,0,0,0,15,1
-27,3,0,0,0,11,1
-26,4,0,0,0,10,5
-25,1,0,0,0,34,1
-24,2,0,0,0,36,2
-23,16,1,0,0,39,5
-22,8,1,0,0,44,14
-21,12,4,0,0,44,20
-20,26,5,0,0,51,23
-19,5,3,0,0,25,33
-18,21,3,0,0,92,44
-17,35,28,0,0,83,73
-16,28,15,0,0,93,54
-15,12,25,0,0,77,67
-14,22,37,0,0,129,98
-13,44,23,0,0,107,87
-12,48,28,0,0,132,111
-11,40,29,0,0,120,110
-10,49,31,0,0,191,127
-9,42,44,0,0,114,152
-8,38,35,0,0,136,159
-7,90,50,0,0,199,162
-6,54,53,0,0,135,172
-5,35,75,0,0,240,193
-4,226,94,0,0,345,254
-3,50,123,0,0,151,312
-2,43,221,0,0,376,505
-1,940,674,0,0,1077,1048
0,0,253,204,204,286,878
1,0,33,39,39,1038,1009
2,0,4,19,37,357,468
3,0,4,35,38,116,274
4,0,0,16,51,329,203
5,0,0,35,43,205,150
6,0,0,29,24,106,148
7,0,0,27,49,172,113
8,0,0,20,33,116,126
9,0,0,22,30,92,122
10,0,0,33,18,158,109
11,0,0,21,17,99,93
12,0,0,26,16,106,95
13,0,0,16,22,91,65
14,0,0,25,15,104,83
15,0,0,22,5,55,62
16,0,0,15,2,78,52
17,0,0,14,12,69,61
18,0,0,10,14,82,30
19,0,0,5,5,20,28
20,0,0,6,2,45,21
21,0,0,6,4,38,16
22,0,0,11,3,33,11
23,0,0,12,1,27,4
24,0,0,5,0,31,2
25,0,0,2,0,32,1
26,0,0,0,0,10,5
27,0,0,2,0,9,1
28,0,0,4,0,11,1
29,0,0,2,0,7,0
30,0,0,1,0,2,0
31,0,0,0,0,4,0
32,0,0,0,0,2,0
34,0,0,0,0,3,0
36,0,0,0,0,2,0
