Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-141,0,0,0,0
0,-140,0,0,0,0
0,-139,0,0,0,0
0,-138,0,0,0,0
0,-137,0,0,0,0
0,-136,0,0,0,0
0,-135,0,0,0,0
0,-134,0,0,0,0
0,-133,0,0,0,0
0,-132,0,0,0,0
0,-131,0,0,0,0
0,-130,0,0,0,0
0,-129,0,0,0,0
0,-128,0,0,0,0
0,-127,0,0,0,0
0,-126,0,0,0,0
0,-125,0,0,0,0
0,-124,0,0,0,0
0,-123,0,0,0,0
0,-122,0,0,0,0
0,-121,0,0,0,0
0,-120,0,0,6,0
0,-119,0,0,6,0
0,-118,0,0,0,0
0,-117,0,0,6,0
0,-116,0,0,6,0
0,-115,0,0,0,0
0,-114,0,0,12,0
0,-113,0,0,12,0
0,-112,0,0,0,0
0,-111,0,0,18,0
0,-110,0,0,18,0
0,-109,0,0,0,0
0,-108,0,0,42,0
0,-107,0,0,42,6
0,-106,0,0,0,0
0,-105,0,0,48,0
0,-104,0,0,48,6
0,-103,0,0,0,6
0,-102,0,0,105,6
0,-101,0,0,99,6
0,-100,0,0,0,6
0,-99,0,0,108,6
0,-98,0,0,105,3
0,-97,0,0,6,12
0,-96,0,0,243,18
0,-95,0,0,186,21
0,-94,0,0,6,15
0,-93,0,0,396,18
0,-92,0,0,219,27
0,-91,0,0,12,30
0,-90,0,0,645,36
0,-89,0,0,351,54
0,-88,0,0,9,39
0,-87,0,0,972,48
0,-86,0,0,417,63
0,-85,0,0,21,63
0,-84,0,0,1494,108
0,-83,0,0,732,102
0,-82,0,0,30,111
0,-81,0,0,6192,138
0,-80,0,0,4836,159
0,-79,0,0,42,204
0,-78,0,0,5949,195
0,-77,0,0,894,279
0,-76,0,0,60,324
0,-75,0,0,15393,396
0,-74,0,0,6807,474
0,-73,0,0,72,603
0,-72,0,0,10074,732
0,-71,0,0,5043,1086
0,-70,0,0,117,1437
0,-69,0,0,11862,1524
0,-68,0,0,8862,1824
0,-67,0,0,186,2022
0,-66,0,0,10908,2517
0,-65,0,0,7161,3075
0,-64,0,0,198,4017
0,-63,0,0,17388,4479
0,-62,0,0,5838,4569
0,-61,0,0,342,4596
0,-60,0,0,21321,4731
0,-59,0,0,6678,4659
0,-58,0,0,591,4962
0,-57,0,0,24561,5508
0,-56,0,0,13929,6279
0,-55,0,0,1899,7692
0,-54,0,0,26799,8802
0,-53,0,0,36588,10251
0,-52,0,0,4761,11778
0,-51,0,0,16077,13857
0,-50,0,0,13479,14553
0,-49,0,0,3747,15681
0,-48,0,0,14487,17646
0,-47,0,0,26616,19359
0,-46,0,0,4203,20040
0,-45,0,0,18057,21537
0,-44,0,0,15261,21462
0,-43,0,0,4482,21684
0,-42,0,0,17505,23652
0,-41,0,0,29436,24576
0,-40,0,0,8601,21927
0,-39,0,0,14199,21870
0,-38,0,0,18477,23148
0,-37,0,0,7296,24849
0,-36,0,0,10884,25716
0,-35,0,0,15207,23622
0,-34,0,0,13398,21231
0,-33,0,0,16995,19332
0,-32,0,0,43152,18525
0,-31,0,0,13233,17184
0,-30,0,0,10098,16593
0,-29,0,0,9498,15366
0,-28,0,0,19233,14310
0,-27,0,0,12507,13878
0,-26,0,0,32265,13866
0,-25,0,0,43848,13584
0,-24,0,0,11307,14298
0,-23,0,0,16254,15396
0,-22,0,0,50379,16917
0,-21,0,0,12207,18060
0,-20,0,0,29595,19986
0,-19,0,0,52737,21333
0,-18,0,0,11523,23580
0,-17,0,0,24714,24777
0,-16,0,0,52341,26091
0,-15,0,0,14268,28215
0,-14,0,0,17292,29163
0,-13,0,0,43338,30126
0,-12,0,0,16032,31233
0,-11,0,0,15618,30957
0,-10,0,0,41040,33015
0,-9,0,0,3345,34317
0,-8,0,0,11382,35685
0,-7,0,0,21426,37890
0,-6,0,0,3339,38460
0,-5,0,0,10659,38088
0,-4,0,0,22038,42459
0,-3,0,0,1662,52077
0,-2,0,0,37494,107271
0,-1,0,0,359490,188061
0,0,36,36,1626,75360
0,1,0,0,359490,188061
0,2,0,0,37494,107271
0,3,0,0,1662,52077
0,4,0,0,22038,42459
0,5,0,0,10659,38088
0,6,0,3,3339,38457
0,7,0,0,21426,37890
0,8,0,0,11382,35685
0,9,0,3,3345,34314
0,10,3,0,41037,33015
0,11,3,3,15615,30954
0,12,3,3,16029,31230
0,13,3,3,43335,30123
0,14,3,3,17289,29160
0,15,3,3,14265,28212
0,16,3,3,52338,26088
0,17,3,3,24711,24774
0,18,3,3,11520,23577
0,19,3,0,52734,21333
0,20,0,0,29595,19986
0,21,0,0,12207,18060
0,22,0,0,50379,16917
0,23,0,0,16254,15396
0,24,0,0,11307,14298
0,25,0,0,43848,13584
0,26,0,0,32265,13866
0,27,0,0,12507,13878
0,28,0,0,19233,14310
0,29,0,12,9498,15354
0,30,6,30,10092,16563
0,31,12,18,13221,17166
0,32,12,24,43140,18501
0,33,12,18,16983,19314
0,34,12,15,13386,21216
0,35,12,9,15195,23613
0,36,12,6,10872,25710
0,37,12,3,7284,24846
0,38,12,6,18465,23142
0,39,12,3,14187,21867
0,40,9,3,8592,21924
0,41,6,6,29430,24570
0,42,3,3,17502,23649
0,43,3,0,4479,21684
0,44,3,0,15258,21462
0,45,3,0,18054,21537
0,46,3,0,4200,20040
0,47,3,0,26613,19359
0,48,3,0,14484,17646
0,49,3,0,3744,15681
0,50,3,0,13476,14553
0,51,0,0,16077,13857
0,52,0,0,4761,11778
0,53,0,0,36588,10251
0,54,0,0,26799,8802
0,55,0,0,1899,7692
0,56,0,0,13929,6279
0,57,0,0,24561,5508
0,58,0,0,591,4962
0,59,0,12,6678,4647
0,60,0,12,21321,4719
0,61,0,12,342,4584
0,62,0,6,5838,4563
0,63,6,12,17382,4467
0,64,6,6,192,4011
0,65,6,0,7155,3075
0,66,6,0,10902,2517
0,67,6,0,180,2022
0,68,6,0,8856,1824
0,69,6,0,11856,1524
0,70,6,0,111,1437
0,71,6,0,5037,1086
0,72,6,0,10068,732
0,73,0,0,72,603
0,74,0,0,6807,474
0,75,0,0,15393,396
0,76,0,0,60,324
0,77,0,0,894,279
0,78,0,0,5949,195
0,79,0,0,42,204
0,80,0,0,4836,159
0,81,0,0,6192,138
0,82,0,0,30,111
0,83,0,0,732,102
0,84,0,0,1494,108
0,85,0,0,21,63
0,86,0,0,417,63
0,87,0,0,972,48
0,88,0,0,9,39
0,89,0,0,351,54
0,90,0,0,645,36
0,91,0,0,12,30
0,92,0,0,219,27
0,93,0,0,396,18
0,94,0,0,6,15
0,95,0,0,186,21
0,96,0,0,243,18
0,97,0,0,6,12
0,98,0,0,105,3
0,99,0,0,108,6
0,100,0,0,0,6
0,101,0,0,99,6
0,102,0,0,105,6
0,103,0,0,0,6
0,104,0,0,48,6
0,105,0,0,48,0
0,106,0,0,0,0
0,107,0,0,42,6
0,108,0,0,42,0
0,109,0,0,0,0
0,110,0,0,18,0
0,111,0,0,18,0
0,112,0,0,0,0
0,113,0,0,12,0
0,114,0,0,12,0
0,115,0,0,0,0
0,116,0,0,6,0
0,117,0,0,6,0
0,118,0,0,0,0
0,119,0,0,6,0
0,120,0,0,6,0
0,121,0,0,0,0
0,122,0,0,0,0
0,123,0,0,0,0
0,124,0,0,0,0
0,125,0,0,0,0
0,126,0,0,0,0
0,127,0,0,0,0
0,128,0,0,0,0
0,129,0,0,0,0
0,130,0,0,0,0
0,131,0,0,0,0
0,132,0,0,0,0
0,133,0,0,0,0
0,134,0,0,0,0
0,135,0,0,0,0
0,136,0,0,0,0
0,137,0,0,0,0
0,138,0,0,0,0
0,139,0,0,0,0
0,140,0,0,0,0
0,141,0,0,0,0
1,-141,0,0,12,0
1,-140,0,0,0,0
1,-139,0,0,0,0
1,-138,0,0,27,0
1,-137,0,0,0,0
1,-136,0,0,0,0
1,-135,0,0,36,0
1,-134,0,0,0,0
1,-133,0,0,0,0
1,-132,0,0,81,0
1,-131,0,0,0,3
1,-130,0,0,0,3
1,-129,0,0,117,6
1,-128,0,0,0,0
1,-127,0,0,0,3
1,-126,0,0,165,3
1,-125,0,0,0,6
1,-124,0,0,0,6
1,-123,0,0,243,3
1,-122,0,0,0,9
1,-121,0,0,0,24
1,-120,0,0,315,9
1,-119,0,0,0,21
1,-118,0,0,0,12
1,-117,0,0,459,18
1,-116,0,0,0,18
1,-115,0,0,0,27
1,-114,0,0,777,39
1,-113,0,0,0,57
1,-112,0,0,0,36
1,-111,0,0,1257,66
1,-110,0,0,75,60
