Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-69,0,0,0,0
0,-68,0,0,0,0
0,-67,0,0,1,0
0,-66,0,0,4,0
0,-65,0,0,8,0
0,-64,0,0,8,0
0,-63,0,0,9,0
0,-62,0,0,19,0
0,-61,0,0,26,0
0,-60,0,0,30,0
0,-59,0,0,68,0
0,-58,0,0,70,0
0,-57,0,0,110,0
0,-56,0,0,112,0
0,-55,0,0,156,0
0,-54,0,0,187,0
0,-53,0,0,183,0
0,-52,0,0,257,0
0,-51,0,0,356,0
0,-50,0,0,435,0
0,-49,0,0,470,0
0,-48,0,0,630,0
0,-47,0,0,787,0
0,-46,0,0,922,0
0,-45,0,0,1020,0
0,-44,0,0,1159,0
0,-43,0,0,1422,0
0,-42,0,0,1483,0
0,-41,0,0,1558,0
0,-40,0,0,1919,0
0,-39,0,0,2146,1
0,-38,0,0,2139,2
0,-37,0,0,2927,10
0,-36,0,0,3141,9
0,-35,0,0,3113,27
0,-34,0,0,4241,29
0,-33,0,0,4504,37
0,-32,0,0,4193,58
0,-31,0,0,5655,67
0,-30,0,0,5775,135
0,-29,0,0,5447,180
0,-28,0,0,7158,239
0,-27,0,0,7421,394
0,-26,0,0,6765,553
0,-25,0,0,9034,809
0,-24,0,0,9077,1187
0,-23,0,0,8252,1584
0,-22,0,0,11402,2158
0,-21,0,0,10394,2841
0,-20,0,0,9540,3516
0,-19,0,0,12913,4470
0,-18,0,0,12365,5710
0,-17,0,0,11683,7095
0,-16,0,0,15822,8832
0,-15,0,0,14471,10629
0,-14,0,0,13792,12944
0,-13,0,0,17798,15263
0,-12,0,0,16107,17860
0,-11,0,0,16582,20096
0,-10,0,0,20574,22906
0,-9,0,0,17474,25349
0,-8,0,0,18823,27880
0,-7,0,0,24038,31029
0,-6,0,0,17480,32997
0,-5,0,0,20532,36376
0,-4,0,0,28521,39597
0,-3,0,0,17734,42920
0,-2,0,0,21853,50598
0,-1,0,0,68458,76241
0,0,36,36,17340,57590
0,1,9,9,68449,76232
0,2,12,12,21841,50586
0,3,11,11,17723,42909
0,4,12,12,28509,39585
0,5,15,15,20517,36361
0,6,18,18,17462,32979
0,7,18,18,24020,31011
0,8,17,18,18806,27862
0,9,13,14,17461,25335
0,10,15,15,20559,22891
0,11,11,14,16571,20082
0,12,14,17,16093,17843
0,13,16,16,17782,15247
0,14,10,12,13782,12932
0,15,8,3,14463,10626
0,16,6,4,15816,8828
0,17,3,3,11680,7092
0,18,2,2,12363,5708
0,19,4,3,12909,4467
0,20,2,2,9538,3514
0,21,1,0,10393,2841
0,22,0,0,11402,2158
0,23,0,0,8252,1584
0,24,2,1,9075,1186
0,25,0,0,9034,809
0,26,0,0,6765,553
0,27,0,0,7421,394
0,28,0,0,7158,239
0,29,0,0,5447,180
0,30,0,0,5775,135
0,31,0,0,5655,67
0,32,1,1,4192,57
0,33,1,1,4503,36
0,34,1,1,4240,28
0,35,0,0,3113,27
0,36,0,0,3141,9
0,37,0,0,2927,10
0,38,0,0,2139,2
0,39,0,0,2146,1
0,40,0,0,1919,0
0,41,0,0,1558,0
0,42,0,0,1483,0
0,43,0,0,1422,0
0,44,0,0,1159,0
0,45,0,0,1020,0
0,46,0,0,922,0
0,47,0,0,787,0
0,48,0,0,630,0
0,49,0,0,470,0
0,50,0,0,435,0
0,51,0,0,356,0
0,52,0,0,257,0
0,53,0,0,183,0
0,54,0,0,187,0
0,55,0,0,156,0
0,56,0,0,112,0
0,57,0,0,110,0
0,58,0,0,70,0
0,59,0,0,68,0
0,60,0,0,30,0
0,61,0,0,26,0
0,62,0,0,19,0
0,63,0,0,9,0
0,64,0,0,8,0
0,65,0,0,8,0
0,66,0,0,4,0
0,67,0,0,1,0
0,68,0,0,0,0
0,69,0,0,0,0
1,-69,0,0,1,0
1,-68,0,0,3,0
1,-67,0,0,4,0
1,-66,0,0,19,0
1,-65,0,0,5,0
1,-64,0,0,17,0
1,-63,0,0,20,0
1,-62,0,0,23,0
1,-61,0,0,29,0
1,-60,0,0,49,0
1,-59,0,0,70,0
1,-58,0,0,95,0
1,-57,0,0,166,0
1,-56,0,0,194,0
1,-55,0,0,197,0
1,-54,0,0,259,0
1,-53,0,0,311,0
1,-52,0,0,340,0
1,-51,0,0,406,0
1,-50,0,0,441,0
1,-49,0,0,452,0
1,-48,0,0,644,0
1,-47,0,0,794,0
1,-46,0,0,871,0
1,-45,0,0,1047,0
1,-44,0,0,1190,0
1,-43,0,0,1449,0
1,-42,0,0,1500,0
1,-41,0,0,1772,0
1,-40,0,0,2235,2
1,-39,0,0,2211,3
1,-38,0,0,2550,2
1,-37,0,0,3064,5
1,-36,0,0,3188,0
1,-35,0,0,3286,11
1,-34,0,0,4174,15
1,-33,0,0,4087,18
1,-32,0,0,4097,18
1,-31,0,0,5375,40
1,-30,0,0,5283,68
1,-29,0,0,4937,124
1,-28,0,0,6750,238
1,-27,0,0,6771,324
1,-26,0,0,5851,575
1,-25,0,0,8112,792
1,-24,0,0,8555,1224
1,-23,0,0,6931,1661
1,-22,0,0,9561,2266
1,-21,0,0,10206,3101
1,-20,0,0,8790,3951
1,-19,0,0,11340,4839
1,-18,0,0,11348,6002
1,-17,0,0,10410,6964
1,-16,0,0,12733,7966
1,-15,0,0,12008,9306
1,-14,0,0,12649,10680
1,-13,0,0,14318,12295
1,-12,0,0,11700,13541
1,-11,0,0,14572,15381
1,-10,0,0,17553,17055
1,-9,0,0,11768,18914
1,-8,0,0,17137,21298
1,-7,0,0,22614,24307
1,-6,0,0,12856,27745
1,-5,0,0,21106,32405
1,-4,0,0,31423,38312
1,-3,0,0,14247,45874
1,-2,0,0,34173,61297
1,-1,0,0,103118,105984
1,0,24,24,11948,73652
1,1,56,56,103062,105928
1,2,28,29,34145,61268
1,3,22,21,14225,45853
1,4,12,16,31411,38296
1,5,10,10,21096,32395
1,6,14,14,12842,27731
1,7,13,10,22601,24297
1,8,9,9,17128,21289
1,9,5,5,11763,18909
1,10,1,2,17552,17053
1,11,2,5,14570,15376
1,12,7,8,11693,13533
1,13,9,9,14309,12286
1,14,5,13,12644,10667
1,15,9,7,11999,9299
1,16,4,7,12729,7959
1,17,2,4,10408,6960
1,18,4,4,11344,5998
1,19,3,1,11337,4838
1,20,5,2,8785,3949
1,21,3,0,10203,3101
1,22,0,0,9561,2266
1,23,2,1,6929,1660
1,24,3,1,8552,1223
1,25,0,0,8112,792
1,26,1,0,5850,575
1,27,2,0,6769,324
1,28,1,0,6749,238
1,29,1,0,4936,124
1,30,0,0,5283,68
1,31,0,0,5375,40
1,32,0,0,4097,18
1,33,0,0,4087,18
1,34,0,0,4174,15
1,35,0,0,3286,11
1,36,1,0,3187,0
1,37,0,0,3064,5
1,38,0,0,2550,2
1,39,0,0,2211,3
1,40,0,0,2235,2
1,41,0,0,1772,0
1,42,0,0,1500,0
1,43,0,0,1449,0
1,44,0,0,1190,0
1,45,0,0,1047,0
1,46,0,0,871,0
1,47,0,0,794,0
1,48,0,0,644,0
1,49,0,0,452,0
1,50,0,0,441,0
1,51,0,0,406,0
1,52,0,0,340,0
1,53,0,0,311,0
1,54,0,0,259,0
1,55,0,0,197,0
1,56,0,0,194,0
1,57,0,0,166,0
1,58,0,0,95,0
1,59,0,0,70,0
1,60,0,0,49,0
1,61,0,0,29,0
1,62,0,0,23,0
1,63,0,0,20,0
1,64,0,0,17,0
1,65,0,0,5,0
1,66,0,0,19,0
1,67,0,0,4,0
1,68,0,0,3,0
1,69,0,0,1,0
2,-69,0,0,0,0
2,-68,0,0,0,0
2,-67,0,0,3,0
2,-66,0,0,3,0
2,-65,0,0,3,0
2,-64,0,0,8,0
2,-63,0,0,13,0
2,-62,0,0,11,0
2,-61,0,0,14,0
2,-60,0,0,35,0
2,-59,0,0,48,0
2,-58,0,0,50,0
2,-57,0,0,105,0
2,-56,0,0,141,0
2,-55,0,0,125,0
2,-54,0,0,167,0
2,-53,0,0,337,0
2,-52,0,0,255,0
2,-51,0,0,346,0
2,-50,0,0,388,0
2,-49,0,0,446,0
2,-48,0,0,542,0
2,-47,0,0,621,0
2,-46,0,0,700,0
2,-45,0,0,908,1
2,-44,0,0,996,0
2,-43,0,0,1308,0
2,-42,0,0,1430,0
2,-41,0,0,1652,0
2,-40,0,0,2056,2
2,-39,0,0,2126,4
2,-38,0,0,2288,0
2,-37,0,0,2998,7
2,-36,0,0,3041,18
2,-35,0,0,3131,25
2,-34,0,0,4045,17
2,-33,0,0,3954,19
2,-32,0,0,4146,35
2,-31,0,0,5803,39
2,-30,0,0,5536,65
2,-29,0,0,5244,118
2,-28,0,0,7130,221
2,-27,0,0,7233,372
2,-26,0,0,6427,524
2,-25,0,0,8073,736
2,-24,0,0,8419,1115
2,-23,0,0,8052,1547
2,-22,0,0,10088,2194
2,-21,0,0,10066,2964
2,-20,0,0,9109,3767
2,-19,0,0,11040,4623
2,-18,0,0,10479,5796
2,-17,0,0,11086,6858
2,-16,0,0,12600,8202
2,-15,0,0,10667,9205
2,-14,0,0,12398,10297
2,-13,0,0,14618,11783
2,-12,0,0,10915,13493
2,-11,0,0,15389,15404
2,-10,0,0,17945,17066
2,-9,0,0,11812,19617
2,-8,0,0,19067,21823
2,-7,0,0,21865,24919
2,-6,0,0,12332,28099
2,-5,0,0,23597,32816
2,-4,0,0,30363,38125
2,-3,0,0,12958,45284
2,-2,0,0,35215,60187
2,-1,0,0,101069,105237
2,0,24,24,12788,77610
2,1,71,71,100998,105166
2,2,34,38,35181,60149
2,3,19,20,12939,45264
2,4,10,14,30353,38111
2,5,11,5,23586,32811
2,6,6,5,12326,28094
2,7,4,6,21861,24913
2,8,4,6,19063,21817
2,9,4,7,11808,19610
2,10,4,4,17941,17062
2,11,5,6,15384,15398
2,12,7,8,10908,13485
2,13,7,8,14611,11775
2,14,6,3,12392,10294
2,15,2,0,10665,9205
2,16,5,3,12595,8199
2,17,4,6,11082,6852
2,18,5,6,10474,5790
2,19,3,3,11037,4620
2,20,3,3,9106,3764
2,21,2,3,10064,2961
2,22,2,2,10086,2192
2,23,2,2,8050,1545
2,24,2,1,8417,1114
2,25,3,0,8070,736
2,26,2,0,6425,524
2,27,2,1,7231,371
2,28,2,1,7128,220
2,29,1,0,5243,118
2,30,0,0,5536,65
2,31,0,0,5803,39
2,32,0,0,4146,35
2,33,0,0,3954,19
2,34,0,0,4045,17
2,35,0,0,3131,25
2,36,1,1,3040,17
2,37,1,1,2997,6
2,38,0,0,2288,0
2,39,0,0,2126,4
2,40,0,0,2056,2
2,41,0,0,1652,0
2,42,0,0,1430,0
2,43,0,0,1308,0
2,44,0,0,996,0
2,45,0,0,908,1
2,46,0,0,700,0
2,47,0,0,621,0
2,48,0,0,542,0
2,49,0,0,446,0
2,50,0,0,388,0
2,51,0,0,346,0
2,52,0,0,255,0
2,53,0,0,337,0
2,54,0,0,167,0
2,55,0,0,125,0
2,56,0,0,141,0
2,57,0,0,105,0
2,58,0,0,50,0
2,59,0,0,48,0
2,60,0,0,35,0
2,61,0,0,14,0
2,62,0,0,11,0
2,63,0,0,13,0
2,64,0,0,8,0
2,65,0,0,3,0
2,66,0,0,3,0
2,67,0,0,3,0
2,68,0,0,0,0
2,69,0,0,0,0
3,-69,0,0,0,0
3,-68,0,0,0,0
3,-67,0,0,0,0
3,-66,0,0,1,0
3,-65,0,0,2,0
3,-64,0,0,2,0
3,-63,0,0,4,0
3,-62,0,0,7,0
3,-61,0,0,9,0
3,-60,0,0,18,0
3,-59,0,0,21,0
3,-58,0,0,28,0
3,-57,0,0,54,0
3,-56,0,0,57,0
3,-55,0,0,68,0
3,-54,0,0,110,0
3,-53,0,0,169,0
3,-52,0,0,178,0
3,-51,0,0,232,0
3,-50,0,0,372,0
3,-49,0,0,344,0
3,-48,0,0,450,0
3,-47,0,0,509,0
3,-46,0,0,578,0
3,-45,0,0,756,1
3,-44,0,0,761,1
3,-43,0,0,1000,0
3,-42,0,0,1141,0
3,-41,0,0,1270,0
3,-40,0,0,1754,2
3,-39,0,0,1815,2
3,-38,0,0,1902,2
3,-37,0,0,2488,5
3,-36,0,0,2763,14
3,-35,0,0,2807,8
3,-34,0,0,3903,8
3,-33,0,0,3793,14
3,-32,0,0,3896,28
3,-31,0,0,5018,39
3,-30,0,0,5003,56
3,-29,0,0,5224,88
3,-28,0,0,6513,123
3,-27,0,0,6527,223
3,-26,0,0,6310,303
3,-25,0,0,8066,500
3,-24,0,0,8069,840
3,-23,0,0,7796,1322
3,-22,0,0,9234,1788
3,-21,0,0,9108,2461
3,-20,0,0,9303,3191
3,-19,0,0,10630,3982
3,-18,0,0,9904,5046
3,-17,0,0,11466,5910
3,-16,0,0,12673,6992
3,-15,0,0,10629,8148
3,-14,0,0,13655,9557
3,-13,0,0,16015,11266
3,-12,0,0,11609,13296
3,-11,0,0,16031,15142
3,-10,0,0,18990,17620
3,-9,0,0,12140,20088
3,-8,0,0,19791,22689
3,-7,0,0,24890,26066
3,-6,0,0,12939,29978
3,-5,0,0,24171,34821
3,-4,0,0,32889,40294
3,-3,0,0,13722,47311
3,-2,0,0,36075,61496
3,-1,0,0,97822,103007
3,0,24,24,11910,75402
3,1,61,61,97761,102946
3,2,38,44,36037,61452
3,3,29,28,13693,47283
3,4,11,10,32878,40284
3,5,9,8,24162,34813
3,6,6,7,12933,29971
3,7,9,7,24881,26059
3,8,7,7,19784,22682
3,9,3,5,12137,20083
3,10,5,7,18985,17613
3,11,7,7,16024,15135
3,12,7,7,11602,13289
3,13,8,8,16007,11258
3,14,7,4,13648,9553
3,15,2,4,10627,8144
3,16,2,4,12671,6988
3,17,3,3,11463,5907
3,18,2,2,9902,5044
3,19,5,2,10625,3980
3,20,1,1,9302,3190
3,21,1,1,9107,2460
3,22,2,2,9232,1786
3,23,1,0,7795,1322
3,24,0,0,8069,840
3,25,0,0,8066,500
3,26,2,1,6308,302
3,27,2,1,6525,222
3,28,2,1,6511,122
3,29,0,0,5224,88
3,30,0,0,5003,56
3,31,0,0,5018,39
3,32,0,0,3896,28
3,33,0,0,3793,14
3,34,0,0,3903,8
3,35,0,0,2807,8
3,36,1,1,2762,13
3,37,1,1,2487,4
3,38,0,0,1902,2
3,39,0,0,1815,2
3,40,0,0,1754,2
3,41,0,0,1270,0
3,42,0,0,1141,0
3,43,0,0,1000,0
3,44,0,0,761,1
3,45,0,0,756,1
3,46,0,0,578,0
3,47,0,0,509,0
3,48,0,0,450,0
3,49,0,0,344,0
3,50,0,0,372,0
3,51,0,0,232,0
3,52,0,0,178,0
3,53,0,0,169,0
3,54,0,0,110,0
3,55,0,0,68,0
3,56,0,0,57,0
3,57,0,0,54,0
3,58,0,0,28,0
3,59,0,0,21,0
3,60,0,0,18,0
3,61,0,0,9,0
3,62,0,0,7,0
3,63,0,0,4,0
3,64,0,0,2,0
3,65,0,0,2,0
3,66,0,0,1,0
3,67,0,0,0,0
3,68,0,0,0,0
3,69,0,0,0,0
4,-69,0,0,0,0
