,rank effect,count
0,-118,15
1,-117,30
2,-116,15
3,-115,15
4,-113,36
5,-112,21
6,-111,45
7,-110,30
8,-109,27
9,-108,111
10,-107,78
11,-106,126
12,-105,105
13,-104,186
14,-103,201
15,-102,189
16,-101,282
17,-100,369
18,-99,390
19,-98,357
20,-97,444
21,-96,453
22,-95,351
23,-94,495
24,-93,642
25,-92,771
26,-91,699
27,-90,864
28,-89,993
29,-88,795
30,-87,951
31,-86,918
32,-85,1101
33,-84,1260
34,-83,1203
35,-82,1269
36,-81,1104
37,-80,1368
38,-79,1551
39,-78,1767
40,-77,1689
41,-76,2004
42,-75,2322
43,-74,2610
44,-73,2946
45,-72,3390
46,-71,4329
47,-70,4656
48,-69,4695
49,-68,5220
50,-67,5706
51,-66,5616
52,-65,6609
53,-64,7170
54,-63,7836
55,-62,8175
56,-61,8820
57,-60,9030
58,-59,9423
59,-58,10122
60,-57,11085
61,-56,11694
62,-55,12861
63,-54,14580
64,-53,14985
65,-52,15495
66,-51,17193
67,-50,17547
68,-49,18618
69,-48,20211
70,-47,23529
71,-46,24750
72,-45,27408
73,-44,28794
74,-43,31785
75,-42,35214
76,-41,39207
77,-40,45972
78,-39,52395
79,-38,54171
80,-37,53658
81,-36,59733
82,-35,58584
83,-34,59853
84,-33,63447
85,-32,66420
86,-31,75915
87,-30,83544
88,-29,77148
89,-28,76416
90,-27,80151
91,-26,78843
92,-25,73233
93,-24,69606
94,-23,69018
95,-22,67407
96,-21,63732
97,-20,68781
98,-19,67146
99,-18,67338
100,-17,71148
101,-16,73917
102,-15,78042
103,-14,81450
104,-13,87759
105,-12,96519
106,-11,103770
107,-10,109167
108,-9,119727
109,-8,135750
110,-7,158718
111,-6,191652
112,-5,231372
113,-4,287892
114,-3,376878
115,-2,587649
116,-1,1053507
117,0,1001826
118,1,1053507
119,2,587649
120,3,376878
121,4,287892
122,5,231372
123,6,191652
124,7,158718
125,8,135750
126,9,119727
127,10,109167
128,11,103770
129,12,96519
130,13,87759
131,14,81450
132,15,78042
133,16,73917
134,17,71148
135,18,67338
136,19,67146
137,20,68781
138,21,63732
139,22,67407
140,23,69018
141,24,69606
142,25,73233
143,26,78843
144,27,80151
145,28,76416
146,29,77148
147,30,83544
148,31,75915
149,32,66420
150,33,63447
151,34,59853
152,35,58584
153,36,59733
154,37,53658
155,38,54171
156,39,52395
157,40,45972
158,41,39207
159,42,35214
160,43,31785
161,44,28794
162,45,27408
163,46,24750
164,47,23529
165,48,20211
166,49,18618
167,50,17547
168,51,17193
169,52,15495
170,53,14985
171,54,14580
172,55,12861
173,56,11694
174,57,11085
175,58,10122
176,59,9423
177,60,9030
178,61,8820
179,62,8175
180,63,7836
181,64,7170
182,65,6609
183,66,5616
184,67,5706
185,68,5220
186,69,4695
187,70,4656
188,71,4329
189,72,3390
190,73,2946
191,74,2610
192,75,2322
193,76,2004
194,77,1689
195,78,1767
196,79,1551
197,80,1368
198,81,1104
199,82,1269
200,83,1203
201,84,1260
202,85,1101
203,86,918
204,87,951
205,88,795
206,89,993
207,90,864
208,91,699
209,92,771
210,93,642
211,94,495
212,95,351
213,96,453
214,97,444
215,98,357
216,99,390
217,100,369
218,101,282
219,102,189
220,103,201
221,104,186
222,105,105
223,106,126
224,107,78
225,108,111
226,109,27
227,110,30
228,111,45
229,112,21
230,113,36
231,115,15
232,116,15
233,117,30
234,118,15
