,rank,count
0,0,117
1,1,6
2,2,6
3,3,21
4,4,30
5,5,33
6,6,24
7,7,54
8,8,48
9,9,30
10,10,42
11,11,87
12,12,72
13,13,57
14,14,75
15,15,99
16,16,93
17,17,120
18,18,144
19,19,147
20,20,165
21,21,153
22,22,168
23,23,216
24,24,246
25,25,267
26,26,324
27,27,336
28,28,333
29,29,312
30,30,384
31,31,366
32,32,330
33,33,369
34,34,417
35,35,438
36,36,483
37,37,546
38,38,573
39,39,642
40,40,546
41,41,636
42,42,687
43,43,777
44,44,696
45,45,690
46,46,780
47,47,744
48,48,720
49,49,867
50,50,987
51,51,921
52,52,891
53,53,948
54,54,906
55,55,954
56,56,1044
57,57,1113
58,58,1218
59,59,1296
60,60,1380
61,61,1554
62,62,1755
63,63,1797
64,64,1935
65,65,2085
66,66,2334
67,67,2568
68,68,2640
69,69,2757
70,70,3012
71,71,3189
72,72,3105
73,73,3162
74,74,2949
75,75,2721
76,76,2553
77,77,2598
78,78,2424
79,79,2370
80,80,2256
81,81,2166
82,82,2031
83,83,2031
84,84,2226
85,85,2145
86,86,2007
87,87,1845
88,88,2004
89,89,2322
90,90,2499
91,91,2601
92,92,2832
93,93,2904
94,94,3087
95,95,3129
96,96,3291
97,97,3561
98,98,3642
99,99,3846
100,100,3909
101,101,4029
102,102,3666
103,103,3264
104,104,3135
105,105,2772
106,106,2703
107,107,2334
108,108,2136
109,109,1929
110,110,1836
111,111,1527
112,112,1488
113,113,1617
114,114,1404
115,115,1305
116,116,1227
117,117,1194
118,118,1194
119,119,1095
120,120,897
121,121,795
122,122,801
123,123,714
124,124,594
125,125,459
126,126,393
127,127,291
128,128,255
129,129,258
130,130,219
131,131,210
132,132,186
133,133,156
134,134,36
135,135,9
136,136,3
