,rank,count
0,0,129
1,1,6
2,2,6
3,3,21
4,4,30
5,5,33
6,6,27
7,7,54
8,8,51
9,9,30
10,10,45
11,11,90
12,12,75
13,13,60
14,14,78
15,15,102
16,16,96
17,17,123
18,18,150
19,19,156
20,20,174
21,21,165
22,22,183
23,23,231
24,24,249
25,25,261
26,26,312
27,27,333
28,28,363
29,29,408
30,30,468
31,31,492
32,32,471
33,33,516
34,34,555
35,35,510
36,36,534
37,37,615
38,38,630
39,39,657
40,40,711
41,41,756
42,42,897
43,43,945
44,44,978
45,45,1119
46,46,1062
47,47,1101
48,48,1116
49,49,1299
50,50,1269
51,51,1284
52,52,1317
53,53,1458
54,54,1380
55,55,1437
56,56,1572
57,57,1458
58,58,1587
59,59,1644
60,60,1719
61,61,1761
62,62,1896
63,63,1893
64,64,2061
65,65,2217
66,66,2205
67,67,2409
68,68,2514
69,69,2682
70,70,2898
71,71,3063
72,72,3426
73,73,3786
74,74,4071
75,75,4401
76,76,4692
77,77,4860
78,78,5448
79,79,5697
80,80,6222
81,81,6357
82,82,6606
83,83,6969
84,84,6843
85,85,6726
86,86,6588
87,87,6375
88,88,6165
89,89,5946
90,90,5835
91,91,5556
92,92,5772
93,93,5418
94,94,5256
95,95,5295
96,96,5022
97,97,5451
98,98,5583
99,99,5631
100,100,5685
101,101,5430
102,102,5547
103,103,5553
104,104,6156
105,105,6432
106,106,6801
107,107,7077
108,108,7677
109,109,8064
110,110,8562
111,111,8712
112,112,9048
113,113,9534
114,114,10122
115,115,10488
116,116,10554
117,117,10359
118,118,9933
119,119,9819
120,120,9279
121,121,8925
122,122,8031
123,123,7551
124,124,6954
125,125,6771
126,126,6483
127,127,6099
128,128,5661
129,129,5364
130,130,5220
131,131,5109
132,132,4923
133,133,4821
134,134,4506
135,135,4524
136,136,4428
137,137,4170
138,138,4182
139,139,3996
140,140,3978
141,141,3672
142,142,3378
143,143,3264
144,144,2778
145,145,2484
146,146,2415
147,147,2085
148,148,1821
149,149,1704
150,150,1374
151,151,1059
152,152,873
153,153,780
154,154,735
155,155,567
156,156,597
157,157,525
158,158,471
159,159,459
160,160,252
161,161,105
162,162,87
163,163,72
164,164,63
165,165,33
166,166,51
167,167,15
