,rank,count
0,0,117
1,1,6
2,2,6
3,3,12
4,4,12
5,5,15
6,6,24
7,7,27
8,8,24
9,9,30
10,10,42
11,11,39
12,12,36
13,13,45
14,14,57
15,15,57
16,16,60
17,17,66
18,18,90
19,19,96
20,20,93
21,21,96
22,22,126
23,23,138
24,24,129
25,25,159
26,26,192
27,27,201
28,28,198
29,29,240
30,30,267
31,31,282
32,32,297
33,33,306
34,34,288
35,35,285
36,36,297
37,37,318
38,38,324
39,39,357
40,40,363
41,41,405
42,42,387
43,43,420
44,44,477
45,45,549
46,46,516
47,47,525
48,48,546
49,49,564
50,50,483
51,51,573
52,52,624
53,53,660
54,54,597
55,55,660
56,56,663
57,57,681
58,58,663
59,59,693
60,60,690
61,61,696
62,62,696
63,63,768
64,64,786
65,65,816
66,66,819
67,67,861
68,68,855
69,69,939
70,70,999
71,71,1062
72,72,1050
73,73,1092
74,74,1137
75,75,1071
76,76,1056
77,77,1149
78,78,1257
79,79,1308
80,80,1389
81,81,1509
82,82,1632
83,83,1704
84,84,1797
85,85,1815
86,86,1797
87,87,1797
88,88,1860
89,89,1950
90,90,2046
91,91,2106
92,92,2181
93,93,2265
94,94,2337
95,95,2379
96,96,2415
97,97,2397
98,98,2340
99,99,2286
100,100,2301
101,101,2229
102,102,2100
103,103,1923
104,104,1986
105,105,2085
106,106,2133
107,107,2091
108,108,2154
109,109,2214
110,110,2169
111,111,2070
112,112,2103
113,113,2073
114,114,2085
115,115,2133
116,116,2220
117,117,2226
118,118,2199
119,119,2181
120,120,2169
121,121,2211
122,122,2289
123,123,2313
124,124,2328
125,125,2367
126,126,2379
127,127,2460
128,128,2556
129,129,2550
130,130,2514
131,131,2514
132,132,2496
133,133,2385
134,134,2235
135,135,2193
136,136,2085
137,137,2010
138,138,1899
139,139,1779
140,140,1578
141,141,1386
142,142,1251
143,143,1158
144,144,1083
145,145,954
146,146,798
147,147,660
148,148,570
149,149,471
150,150,366
151,151,267
152,152,243
153,153,243
154,154,234
155,155,234
156,156,234
157,157,234
158,158,210
159,159,198
160,160,189
161,161,156
162,162,108
163,163,81
164,164,72
165,165,57
166,166,33
167,167,18
168,168,18
169,169,15
170,170,9
