,rank,count
0,0,69
1,1,6
2,2,6
3,3,12
4,4,12
5,5,12
6,6,18
7,7,18
8,8,12
9,9,18
10,10,30
11,11,27
12,12,21
13,13,36
14,14,45
15,15,48
16,16,48
17,17,48
18,18,36
19,19,33
20,20,45
21,21,39
22,22,27
23,23,33
24,24,45
25,25,48
26,26,36
27,27,54
28,28,51
29,29,63
30,30,45
31,31,33
32,32,36
33,33,60
34,34,75
35,35,72
36,36,72
37,37,81
38,38,84
39,39,78
40,40,78
41,41,69
42,42,54
43,43,36
44,44,30
45,45,27
46,46,30
47,47,24
48,48,24
49,49,15
50,50,21
51,51,30
52,52,36
53,53,30
54,54,18
55,55,15
56,56,12
57,57,6
