node,frm_value,to_value,rank_effect,count
0,0,1,-4,64
0,0,2,-4,64
0,0,3,-4,64
0,0,4,-4,64
0,1,2,-4,64
0,1,3,-4,64
0,1,4,-4,64
0,1,0,-4,64
0,2,1,-4,64
0,2,3,-4,64
0,2,4,-4,64
0,2,0,-4,64
0,3,1,-4,64
0,3,2,-4,64
0,3,4,-4,64
0,3,0,-4,64
0,4,1,-4,64
0,4,2,-4,64
0,4,3,-4,64
0,4,0,-4,64
0,0,1,-3,768
0,0,2,-3,768
0,0,3,-3,768
0,0,4,-3,768
0,1,2,-3,768
0,1,3,-3,768
0,1,4,-3,768
0,1,0,-3,768
0,2,1,-3,768
0,2,3,-3,768
0,2,4,-3,768
0,2,0,-3,768
0,3,1,-3,768
0,3,2,-3,768
0,3,4,-3,768
0,3,0,-3,768
0,4,1,-3,768
0,4,2,-3,768
0,4,3,-3,768
0,4,0,-3,768
0,0,1,-2,3712
0,0,2,-2,3712
0,0,3,-2,3712
0,0,4,-2,3712
0,1,2,-2,3712
0,1,3,-2,3712
0,1,4,-2,3712
0,1,0,-2,3712
0,2,1,-2,3712
0,2,3,-2,3712
0,2,4,-2,3712
0,2,0,-2,3712
0,3,1,-2,3712
0,3,2,-2,3712
0,3,4,-2,3712
0,3,0,-2,3712
0,4,1,-2,3712
0,4,2,-2,3712
0,4,3,-2,3712
0,4,0,-2,3712
0,0,1,-1,20113
0,0,2,-1,20113
0,0,3,-1,20113
0,0,4,-1,20113
0,1,0,-1,20113
0,1,2,-1,20113
0,1,3,-1,20113
0,1,4,-1,20113
0,2,0,-1,20113
0,2,1,-1,20113
0,2,3,-1,20113
0,2,4,-1,20113
0,3,0,-1,20113
0,3,1,-1,20113
0,3,2,-1,20113
0,3,4,-1,20113
0,4,0,-1,20113
0,4,1,-1,20113
0,4,2,-1,20113
0,4,3,-1,20113
1,0,1,-4,64
1,0,2,-4,64
1,0,3,-4,64
1,0,4,-4,64
1,1,2,-4,64
1,1,3,-4,64
1,1,4,-4,64
1,2,1,-4,64
1,2,3,-4,64
1,2,4,-4,64
1,3,1,-4,64
1,3,2,-4,64
1,3,4,-4,64
1,4,1,-4,64
1,4,2,-4,64
1,4,3,-4,64
1,1,0,-4,64
1,2,0,-4,64
1,3,0,-4,64
1,4,0,-4,64
1,0,1,-3,768
1,0,2,-3,768
1,0,3,-3,768
1,0,4,-3,768
1,1,2,-3,768
1,1,3,-3,768
1,1,4,-3,768
1,2,1,-3,768
1,2,3,-3,768
1,2,4,-3,768
1,3,1,-3,768
