node,frm_value,to_value,rank_effect,count
0,0,1,-1,175
0,0,2,-1,175
0,0,3,-1,175
0,0,4,-1,175
0,1,0,-1,175
0,1,2,-1,175
0,1,3,-1,175
0,1,4,-1,175
0,2,0,-1,175
0,2,1,-1,175
0,2,3,-1,175
0,2,4,-1,175
0,3,0,-1,175
0,3,1,-1,175
0,3,2,-1,175
0,3,4,-1,175
0,4,0,-1,175
0,4,1,-1,175
0,4,2,-1,175
0,4,3,-1,175
1,1,0,-1,175
1,1,2,-1,175
1,1,3,-1,175
1,1,4,-1,175
1,2,0,-1,175
1,2,1,-1,175
1,2,3,-1,175
1,2,4,-1,175
1,3,0,-1,175
1,3,1,-1,175
1,3,2,-1,175
1,3,4,-1,175
1,4,0,-1,175
1,4,1,-1,175
1,4,2,-1,175
1,4,3,-1,175
1,0,1,-1,175
1,0,2,-1,175
1,0,3,-1,175
1,0,4,-1,175
2,1,0,-1,175
2,1,2,-1,175
2,1,3,-1,175
2,1,4,-1,175
2,2,0,-1,175
2,2,1,-1,175
2,2,3,-1,175
2,2,4,-1,175
2,3,0,-1,175
2,3,1,-1,175
2,3,2,-1,175
2,3,4,-1,175
2,4,0,-1,175
2,4,1,-1,175
2,4,2,-1,175
2,4,3,-1,175
2,0,1,-1,175
2,0,2,-1,175
2,0,3,-1,175
2,0,4,-1,175
3,1,0,-1,175
3,1,2,-1,175
3,1,3,-1,175
3,1,4,-1,175
3,2,0,-1,175
3,2,1,-1,175
3,2,3,-1,175
3,2,4,-1,175
3,3,0,-1,175
3,3,1,-1,175
3,3,2,-1,175
3,3,4,-1,175
3,4,0,-1,175
3,4,1,-1,175
3,4,2,-1,175
3,4,3,-1,175
3,0,1,-1,175
3,0,2,-1,175
3,0,3,-1,175
3,0,4,-1,175
4,1,0,-1,175
4,2,0,-1,175
4,3,0,-1,175
4,4,0,-1,175
4,2,1,-1,175
4,3,1,-1,175
4,4,1,-1,175
4,1,2,-1,175
4,3,2,-1,175
4,4,2,-1,175
4,1,3,-1,175
4,2,3,-1,175
4,4,3,-1,175
4,1,4,-1,175
4,2,4,-1,175
4,3,4,-1,175
4,0,1,-1,175
4,0,2,-1,175
4,0,3,-1,175
4,0,4,-1,175
