node,frm_value,to_value,rank_effect,count
0,0,1,-1,256
0,1,0,-1,256
1,1,0,-3,32
1,2,0,-3,32
1,3,0,-3,32
1,0,1,-3,32
1,2,1,-3,32
1,3,1,-3,32
1,1,0,-2,64
1,2,0,-2,128
1,2,1,-2,128
1,3,0,-2,128
1,3,1,-2,128
1,0,1,-2,64
1,0,1,-1,96
1,1,0,-1,96
1,1,2,-1,32
1,1,3,-1,32
1,2,1,-1,192
1,2,0,-1,192
1,2,3,-1,128
1,3,1,-1,192
1,3,2,-1,128
1,3,0,-1,192
1,0,2,-1,32
1,0,3,-1,32
2,1,0,-1,256
2,0,1,-1,256
3,1,0,-3,16
3,2,0,-3,16
3,3,0,-3,16
3,0,1,-3,16
3,2,1,-3,16
3,3,1,-3,16
3,1,0,-2,64
3,2,0,-2,80
3,2,1,-2,80
3,3,0,-2,80
3,3,1,-2,80
3,0,1,-2,64
3,0,2,-2,16
3,1,2,-2,16
3,3,2,-2,32
3,0,3,-2,16
3,1,3,-2,16
3,2,3,-2,32
3,0,1,-1,112
3,1,0,-1,112
3,1,2,-1,80
3,1,3,-1,80
3,2,1,-1,160
3,2,0,-1,160
3,2,3,-1,128
3,3,1,-1,160
3,3,2,-1,128
3,3,0,-1,160
3,0,2,-1,80
3,0,3,-1,80
4,1,0,-1,256
4,0,1,-1,256
5,1,0,-3,32
5,2,0,-3,32
5,3,0,-3,32
5,0,1,-3,32
5,2,1,-3,32
5,3,1,-3,32
5,2,0,-2,128
5,2,1,-2,128
5,3,0,-2,128
5,3,1,-2,128
5,0,1,-2,64
5,1,0,-2,64
5,0,1,-1,96
5,1,0,-1,96
5,2,1,-1,192
5,2,0,-1,192
5,3,1,-1,192
5,3,0,-1,192
5,0,2,-1,32
5,1,2,-1,32
5,3,2,-1,128
5,0,3,-1,32
5,1,3,-1,32
5,2,3,-1,128
6,1,0,-1,256
6,0,1,-1,256
7,1,0,-1,256
7,0,1,-1,256
