node,frm_value,to_value,rank_effect,count
0,0,1,-1,36
0,1,0,-1,36
1,0,1,-1,36
1,0,2,-1,36
1,1,0,-1,36
1,1,2,-1,36
1,2,0,-1,36
1,2,1,-1,36
2,0,1,-1,36
2,0,2,-1,36
2,1,0,-1,36
2,1,2,-1,36
2,2,0,-1,36
2,2,1,-1,36
3,0,1,-3,2
3,1,0,-3,2
3,2,0,-3,2
3,2,1,-3,2
3,3,0,-3,2
3,3,1,-3,2
3,4,0,-3,3
3,4,1,-3,3
3,0,1,-2,9
3,0,2,-2,2
3,1,0,-2,9
3,1,2,-2,2
3,2,0,-2,11
3,2,1,-2,11
3,3,0,-2,20
3,3,1,-2,20
3,3,2,-2,4
3,4,0,-2,24
3,4,1,-2,24
3,4,2,-2,6
3,0,1,-1,16
3,0,2,-1,11
3,0,3,-1,4
3,1,0,-1,16
3,1,2,-1,11
3,1,3,-1,4
3,2,0,-1,23
3,2,1,-1,23
3,2,3,-1,8
3,3,0,-1,30
3,3,1,-1,30
3,3,2,-1,36
3,4,0,-1,33
3,4,1,-1,33
3,4,2,-1,42
3,4,3,-1,18
4,0,1,-2,6
4,0,2,-2,6
4,1,0,-2,6
4,1,2,-2,6
4,2,0,-2,6
4,2,1,-2,6
4,3,0,-2,6
4,3,1,-2,6
4,3,2,-2,6
4,0,1,-1,22
4,0,2,-1,22
4,0,3,-1,8
4,1,0,-1,22
4,1,2,-1,22
4,1,3,-1,8
4,2,0,-1,22
4,2,1,-1,22
4,2,3,-1,8
4,3,0,-1,44
4,3,1,-1,44
4,3,2,-1,44
