node,-3,-2,-1,0,1,2,3
0,115200,2194140,10100820,14242180,10100820,2194140,115200
1,213760,2616400,9820100,13761980,9820100,2616400,213760
2,234240,2469140,9879060,13897620,9879060,2469140,234240
3,236800,2476880,9876420,13882300,9876420,2476880,236800
4,96000,2224860,10084820,14251140,10084820,2224860,96000
5,0,2370580,9986580,14348180,9986580,2370580,0
6,111360,2164700,10113620,14283140,10113620,2164700,111360
7,194560,2629080,9813220,13788780,9813220,2629080,194560
8,115200,2081440,10128420,14412380,10128420,2081440,115200
9,213760,2494740,9870100,13905300,9870100,2494740,213760
