node,frm_value,to_value,rank_effect,count
0,0,1,-2,4592
0,0,2,-2,4592
0,0,3,-2,4592
0,0,4,-2,4592
0,1,2,-2,4592
0,1,0,-2,4592
0,1,3,-2,4592
0,1,4,-2,4592
0,2,1,-2,4592
0,2,0,-2,4592
0,2,3,-2,4592
0,2,4,-2,4592
0,3,1,-2,4592
0,3,0,-2,4592
0,3,2,-2,4592
0,3,4,-2,4592
0,4,1,-2,4592
0,4,0,-2,4592
0,4,2,-2,4592
0,4,3,-2,4592
0,0,1,-1,20035
0,0,2,-1,20035
0,0,3,-1,20035
0,0,4,-1,20035
0,1,0,-1,20035
0,1,2,-1,20035
0,1,3,-1,20035
0,1,4,-1,20035
0,2,0,-1,20035
0,2,1,-1,20035
0,2,3,-1,20035
0,2,4,-1,20035
0,3,0,-1,20035
0,3,1,-1,20035
0,3,2,-1,20035
0,3,4,-1,20035
0,4,0,-1,20035
0,4,1,-1,20035
0,4,2,-1,20035
0,4,3,-1,20035
1,1,0,-2,3288
1,1,2,-2,3288
1,1,3,-2,3288
1,1,4,-2,3288
1,2,0,-2,3288
1,2,1,-2,3288
1,2,3,-2,3288
1,2,4,-2,3288
1,3,0,-2,3288
1,3,1,-2,3288
1,3,2,-2,3288
1,3,4,-2,3288
1,4,0,-2,3288
1,4,1,-2,3288
1,4,2,-2,3288
1,4,3,-2,3288
1,0,1,-2,3288
1,0,2,-2,3288
1,0,3,-2,3288
1,0,4,-2,3288
1,0,1,-1,20717
1,0,2,-1,20717
1,0,3,-1,20717
1,0,4,-1,20717
1,1,0,-1,20717
1,1,2,-1,20717
1,1,3,-1,20717
1,1,4,-1,20717
1,2,0,-1,20717
1,2,1,-1,20717
1,2,3,-1,20717
1,2,4,-1,20717
1,3,0,-1,20717
1,3,1,-1,20717
1,3,2,-1,20717
1,3,4,-1,20717
1,4,0,-1,20717
1,4,1,-1,20717
1,4,2,-1,20717
1,4,3,-1,20717
2,0,1,-2,4592
2,0,2,-2,4592
2,0,3,-2,4592
2,0,4,-2,4592
2,1,2,-2,4592
