node,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
5,22,220,1122,3300,6710,9240,9570,6600,3960,1100,1144,184360,1144,1100,3960,6600,9570,9240,6710,3300,1122,220,22
6,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2048,20480,2048,0,0,0,0,0,0,0,0,0,0
