Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-8,0,0,0,0
0,-7,0,0,0,0
0,-6,0,0,1,1
0,-5,0,0,3,0
0,-4,0,0,1,1
0,-3,0,0,72,2
0,-2,0,0,0,68
0,-1,0,0,435,392
0,0,0,0,0,96
0,1,2,2,433,390
0,2,0,0,0,68
0,3,0,0,72,2
0,4,1,1,0,0
0,5,0,0,3,0
0,6,1,1,0,0
1,-8,0,0,1,1
1,-7,0,0,4,0
1,-6,0,0,1,1
1,-5,0,0,70,1
1,-4,0,0,0,7
1,-3,0,0,179,235
1,-2,0,0,0,10
1,-1,0,0,256,231
1,0,0,0,0,25
1,1,1,1,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
2,-8,0,0,0,0
2,-7,0,0,0,0
2,-6,0,0,1,1
2,-5,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,9,1
2,-2,0,0,1,13
2,-1,0,0,501,461
2,0,0,0,0,72
2,1,1,1,500,460
2,2,1,1,0,12
2,3,1,1,8,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,1,1,0,0
3,-8,0,0,0,0
3,-7,0,0,2,0
3,-6,0,0,1,1
3,-5,0,0,39,0
3,-4,0,0,0,2
3,-3,0,0,194,81
3,-2,0,0,0,122
3,-1,0,0,275,305
3,0,0,0,0,0
3,1,0,0,0,0
3,2,1,1,0,0
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,0,0,0,0
4,-8,0,0,0,0
4,-7,0,0,2,0
4,-6,0,0,1,1
4,-5,0,0,39,0
4,-4,0,0,0,2
4,-3,0,0,194,81
4,-2,0,0,0,122
4,-1,0,0,275,305
4,0,0,0,0,0
4,1,0,0,0,0
4,2,1,1,0,0
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,0,0,0,0
5,-8,0,0,0,0
5,-7,0,0,0,0
5,-6,0,0,0,0
5,-5,0,0,0,0
5,-4,0,0,2,2
5,-3,0,0,9,2
5,-2,0,0,0,26
5,-1,0,0,501,472
5,0,0,0,0,20
5,1,1,1,500,471
5,2,0,0,0,26
5,3,1,1,8,1
5,4,2,2,0,0
5,5,0,0,0,0
5,6,0,0,0,0
6,-8,0,0,0,0
6,-7,0,0,1,0
6,-6,0,0,0,0
6,-5,0,0,18,0
6,-4,0,0,1,1
6,-3,0,0,39,12
6,-2,0,0,0,54
6,-1,0,0,452,444
6,0,0,0,0,0
6,1,0,0,0,0
6,2,0,0,0,0
6,3,0,0,0,0
6,4,1,1,0,0
6,5,0,0,0,0
6,6,0,0,0,0
7,-8,0,0,0,0
7,-7,0,0,1,0
7,-6,0,0,0,0
7,-5,0,0,18,0
7,-4,0,0,1,1
7,-3,0,0,39,12
7,-2,0,0,0,54
7,-1,0,0,452,444
7,0,0,0,0,0
7,1,0,0,0,0
7,2,0,0,0,0
7,3,0,0,0,0
7,4,1,1,0,0
7,5,0,0,0,0
7,6,0,0,0,0
8,-8,0,0,0,0
8,-7,0,0,1,0
8,-6,0,0,0,0
8,-5,0,0,18,0
8,-4,0,0,1,1
8,-3,0,0,39,12
8,-2,0,0,0,54
8,-1,0,0,452,444
8,0,0,0,0,0
8,1,0,0,0,0
8,2,0,0,0,0
8,3,0,0,0,0
8,4,1,1,0,0
8,5,0,0,0,0
8,6,0,0,0,0
9,-8,0,0,0,0
9,-7,0,0,1,0
9,-6,0,0,0,0
9,-5,0,0,18,0
9,-4,0,0,1,1
9,-3,0,0,39,12
9,-2,0,0,0,54
9,-1,0,0,452,444
9,0,0,0,0,0
9,1,0,0,0,0
9,2,0,0,0,0
9,3,0,0,0,0
9,4,1,1,0,0
9,5,0,0,0,0
9,6,0,0,0,0
