Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-5,0,0,0,0
0,-4,0,0,0,0
0,-3,0,0,0,0
0,-2,0,0,0,0
0,-1,0,0,256,255
0,0,0,0,0,2
0,1,1,1,255,254
0,2,0,0,0,0
1,-5,0,0,0,0
1,-4,0,0,0,0
1,-3,0,0,16,15
1,-2,0,0,0,1
1,-1,0,0,240,240
1,0,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
2,-5,0,0,0,0
2,-4,0,0,0,0
2,-3,0,0,16,15
2,-2,0,0,0,1
2,-1,0,0,240,240
2,0,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
3,-5,0,0,0,0
3,-4,0,0,0,0
3,-3,0,0,16,15
3,-2,0,0,0,1
3,-1,0,0,240,240
3,0,0,0,0,0
3,1,0,0,0,0
3,2,0,0,0,0
4,-5,0,0,1,1
4,-4,0,0,0,0
4,-3,0,0,30,29
4,-2,0,0,0,1
4,-1,0,0,225,225
4,0,0,0,0,0
4,1,0,0,0,0
4,2,0,0,0,0
5,-5,0,0,0,0
5,-4,0,0,0,0
5,-3,0,0,0,0
5,-2,0,0,0,1
5,-1,0,0,256,255
5,0,0,0,0,0
5,1,1,1,255,254
5,2,0,0,0,1
6,-5,0,0,0,0
6,-4,0,0,0,0
6,-3,0,0,16,16
6,-2,0,0,0,1
6,-1,0,0,240,239
6,0,0,0,0,0
6,1,0,0,0,0
6,2,0,0,0,0
7,-5,0,0,0,0
7,-4,0,0,0,0
7,-3,0,0,16,16
7,-2,0,0,0,1
7,-1,0,0,240,239
7,0,0,0,0,0
7,1,0,0,0,0
7,2,0,0,0,0
8,-5,0,0,0,0
8,-4,0,0,0,0
8,-3,0,0,16,16
8,-2,0,0,0,1
8,-1,0,0,240,239
8,0,0,0,0,0
8,1,0,0,0,0
8,2,0,0,0,0
