Rank,Count (Max),Count (Avg)
0,15,15
1,219,219
2,1482,1482
3,6165,6165
4,17631,17631
5,36743,36743
6,57798,57813
7,70509,70518
8,69263,69287
9,60033,60114
10,56037,56268
11,66466,67398
12,89753,91422
13,116515,120492
14,137774,148756
15,150285,166937
16,155064,165536
17,153102,158260
18,144102,139106
19,128833,112479
20,111551,102671
21,99111,94874
22,96278,94264
23,101012,100098
24,105289,103977
25,102143,100500
26,91525,92743
27,77739,79955
28,62773,62321
29,45739,42993
30,27802,22148
31,13126,10411
32,4517,3104
33,1051,793
34,146,102
35,9,5
