Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1382,1382
3,7421,7421
4,28178,28178
5,80283,80327
6,177714,178046
7,314253,316365
8,450952,458609
9,530522,554282
10,517606,576161
11,424419,541082
12,303617,485886
13,205632,433276
14,152906,382176
15,139592,332712
16,142751,281506
17,153165,226688
18,160900,167600
19,163631,107215
20,164020,54994
21,159857,21440
22,154283,5825
23,148684,1293
24,144096,206
25,136104,34
26,123369,4
27,103709,1
28,75620,0
29,45760,0
30,22031,0
31,7951,0
32,1987,0
33,295,0
34,19,0
